2	8	45	40	8	5	105	128	128	2	8	5	5	8	5	2	8	5	32	32	8	4	16	1.291342	0.06885	3754690	0.889938	109813.25	50524.25	39118.75	13062	5808.75	3849.5	47463	28614.5	0.765125	0.120477	363671
2	8	24	32	8	4	96	80	64	2	12	4	4	20	4	2	16	4	40	40	8	8	32	1.428697	0.095	3452418	0.873098	110546.75	57582	39376.5	13269	5816	3834.75	47966.75	29026.75	0.75184	0.111996	347835
2	8	30	30	16	3	84	52	48	1	12	3	3	20	3	1	16	3	40	40	8	4	8	1.110604	0.059475	2481155	0.784188	110372	44439.5	37715.5	12766.25	5646.5	3725	46267	27870.5	0.698368	0.081649	331172
2	4	8	16	8	2	96	40	40	1	14	2	2	26	2	1	20	2	8	8	4	8	32	0.741649	0.038625	1564296	0.491129	120752.25	35690.25	34363	11807	5263.25	3444.5	43041.5	25754	0.477355	0.04137	307844
2	4	16	32	8	1	130	96	64	1	16	1	1	32	1	1	24	1	40	40	4	16	48	0.766827	0.0542	1962689	0.592432	115121	38504	35252.5	12114	5318.5	3533	43959.75	26475.25	0.561496	0.044881	308243
2	8	30	30	12	5	130	80	64	2	24	5	5	40	5	2	32	5	20	20	8	8	32	1.423916	0.076725	3705190	0.863725	110744	56732.5	39324	13284.75	5826	3842	48026.25	29002.25	0.745442	0.131575	358638
2	8	24	32	12	4	128	128	128	2	24	4	4	40	4	2	32	4	40	40	8	4	8	1.479757	0.10725	4060019	0.881242	113525	68772.25	40390.75	13766	5885.5	3939.75	49125.5	29995	0.741374	0.127632	360077
3	8	24	32	8	3	84	52	48	1	16	3	3	32	3	1	24	3	24	24	8	16	48	1.040928	0.06505	2617561	0.782593	116656.25	49889.75	39664.25	13276.25	5733.25	3951.5	47890.5	29272.25	0.665268	0.083556	332473
3	4	24	32	12	2	96	40	40	1	24	2	2	40	2	1	32	2	32	32	4	4	16	0.702345	0.046975	1894088	0.547304	120543.5	38536.25	35474.5	12159.75	5330.75	3543.25	44047.5	26483.25	0.514341	0.045193	308415
2	4	24	32	16	1	64	96	64	1	20	1	1	36	1	1	28	1	8	8	4	4	8	0.757222	0.046	1602981	0.566971	115957	37008.5	34789	11920.75	5274.5	3500.5	43416.5	26103	0.544687	0.040316	306188
3	8	45	40	16	5	120	80	64	2	8	5	5	8	5	2	8	5	8	8	8	8	32	1.093684	0.071075	3491658	0.774735	118795.5	52228.75	40145.25	13182	5823.5	4074.25	48463.25	29745.25	0.652948	0.104384	353928
2	8	40	32	8	4	64	100	96	2	12	4	4	20	4	2	16	4	24	24	8	2	8	1.399288	0.06305	3304094	0.880466	113546	60716.75	40457.5	13514	6049.5	3944	49052.75	29674.5	0.729978	0.107657	342996
2	8	24	32	16	3	84	64	60	1	8	3	3	8	3	1	8	3	24	24	8	2	8	1.178022	0.053975	2277345	0.809395	109619.5	47593.25	38263.75	12928.25	5711.5	3762.75	46790	28135.25	0.713287	0.080239	326425
3	4	16	32	8	2	64	40	40	1	24	2	2	40	2	1	32	2	40	40	4	4	16	0.702148	0.044125	1855024	0.534618	121410.5	38531.5	35399	12155.25	5316	3529.5	43877.5	26323.75	0.503541	0.045405	307978
3	4	40	32	8	1	128	96	64	1	10	1	1	14	1	1	12	1	32	32	4	8	32	0.735829	0.046225	1770744	0.596667	118033.75	39766	35817.75	12349.5	5324.75	3580.75	44323.75	26683.25	0.557358	0.040704	307144
3	8	40	32	8	5	105	80	64	2	10	5	5	14	5	2	12	5	16	16	8	4	16	1.253336	0.065925	3309580	0.924505	123827.25	67530.75	44388.5	14071.5	6387.25	4574.25	52504.25	32635.75	0.714171	0.122879	353336
2	8	16	32	16	4	84	80	64	2	24	4	4	40	4	2	32	4	24	24	8	4	16	1.428059	0.074325	3525713	0.753269	109562.75	44962.5	37373.75	12728.25	5578	3624.5	45702.75	27493.25	0.680496	0.108205	348743
2	8	24	32	16	3	120	64	60	1	12	3	3	20	3	1	16	3	40	40	8	8	32	1.188833	0.063475	2645641	0.846763	109917.25	51024.5	38702	13034.25	5766.75	3797.25	47309	28569.5	0.73929	0.088254	333094
2	4	30	30	16	2	64	128	128	1	24	2	2	40	2	1	32	2	40	40	4	4	8	1.090667	0.05845	2278692	0.794298	108287.25	48205	37511.25	12897.25	5621	3671.25	46319.75	28001.25	0.710808	0.062591	312476
2	4	45	40	8	1	120	100	96	1	16	1	1	32	1	1	24	1	40	40	4	2	8	0.768285	0.04705	1809933	0.590814	115160.25	38780.5	35352	12189.25	5319.25	3539.75	44035.75	26464.5	0.558143	0.041833	302627
2	8	30	30	20	5	130	100	96	2	16	5	5	32	5	2	24	5	20	20	8	4	8	1.442238	0.0816	3887017	0.865233	110989.75	57468.25	39445.5	13329	5840.25	3844.75	48138.25	29065	0.745148	0.129299	359631
3	8	24	32	12	4	32	96	64	2	20	4	4	36	4	2	28	4	8	8	8	8	32	1.089636	0.07	3414405	0.744665	117144.25	49907.75	39201.75	13104.25	5714.5	3963	47795.75	29210.75	0.642581	0.100159	347243
2	8	45	40	12	3	105	64	60	1	24	3	3	40	3	1	32	3	16	16	8	8	32	1.200628	0.062325	2620157	0.848266	110464	51326.25	38797	13030.75	5776	3803.5	47394	28644.75	0.739068	0.089924	333400
