Configure,Int Power,Switch Power,Leak Power,Total Power
PRTEDConfig226-benchmarks-whetstone.riscv,6.84e-02,9.91e-03,3.60e-03,8.19e-02
PRTEDConfig227-benchmarks-mt-vvadd.riscv,5.39e-02,9.34e-03,2.59e-03,6.59e-02
PRTEDConfig227-benchmarks-whetstone.riscv,5.63e-02,9.07e-03,2.60e-03,6.80e-02
PRTEDConfig228-benchmarks-mt-vvadd.riscv,8.89e-02,1.32e-02,5.15e-03,0.107
PRTEDConfig228-benchmarks-whetstone.riscv,8.80e-02,1.16e-02,5.19e-03,0.105
PRTEDConfig229-benchmarks-mt-vvadd.riscv,7.05e-02,1.16e-02,3.72e-03,8.59e-02
PRTEDConfig229-benchmarks-whetstone.riscv,7.13e-02,1.04e-02,3.74e-03,8.54e-02
PRTEDConfig230-benchmarks-mt-vvadd.riscv,9.56e-02,1.49e-02,5.05e-03,0.115
PRTEDConfig230-benchmarks-whetstone.riscv,9.58e-02,1.27e-02,5.08e-03,0.114
PRTEDConfig231-benchmarks-mt-vvadd.riscv,5.22e-02,7.40e-03,2.91e-03,6.26e-02
PRTEDConfig231-benchmarks-whetstone.riscv,5.34e-02,6.20e-03,2.92e-03,6.25e-02
PRTEDConfig232-benchmarks-mt-vvadd.riscv,5.89e-02,8.57e-03,3.63e-03,7.11e-02
PRTEDConfig232-benchmarks-whetstone.riscv,5.76e-02,6.18e-03,3.65e-03,6.74e-02
PRTEDConfig233-benchmarks-mt-vvadd.riscv,7.71e-02,1.26e-02,4.07e-03,9.37e-02
PRTEDConfig233-benchmarks-whetstone.riscv,7.60e-02,9.97e-03,4.09e-03,9.00e-02
PRTEDConfig234-benchmarks-mt-vvadd.riscv,6.58e-02,1.06e-02,3.35e-03,7.98e-02
PRTEDConfig234-benchmarks-whetstone.riscv,6.70e-02,9.25e-03,3.37e-03,7.97e-02
PRTEDConfig235-benchmarks-mt-vvadd.riscv,8.97e-02,1.46e-02,4.77e-03,0.109
PRTEDConfig235-benchmarks-whetstone.riscv,9.22e-02,1.32e-02,4.80e-03,0.110
PRTEDConfig236-benchmarks-mt-vvadd.riscv,5.45e-02,8.49e-03,2.97e-03,6.60e-02
PRTEDConfig236-benchmarks-whetstone.riscv,5.39e-02,6.69e-03,2.99e-03,6.36e-02
PRTEDConfig237-benchmarks-mt-vvadd.riscv,5.65e-02,8.03e-03,2.95e-03,6.75e-02
PRTEDConfig237-benchmarks-whetstone.riscv,5.51e-02,6.22e-03,2.96e-03,6.43e-02
PRTEDConfig238-benchmarks-mt-vvadd.riscv,5.89e-02,8.02e-03,3.29e-03,7.02e-02
