Configure,Int Power,Switch Power,Leak Power,Total Power
CRTEDConfig540-benchmarks-whetstone.riscv,9.40e-02,1.34e-02,4.47e-03,0.112
CRTEDConfig541-benchmarks-mt-vvadd.riscv,8.08e-02,1.24e-02,4.73e-03,9.79e-02
CRTEDConfig541-benchmarks-whetstone.riscv,8.16e-02,1.10e-02,4.77e-03,9.74e-02
CRTEDConfig542-benchmarks-mt-vvadd.riscv,7.58e-02,1.29e-02,3.97e-03,9.27e-02
CRTEDConfig542-benchmarks-whetstone.riscv,7.77e-02,1.18e-02,4.00e-03,9.35e-02
CRTEDConfig543-benchmarks-mt-vvadd.riscv,9.20e-02,1.45e-02,4.60e-03,0.111
CRTEDConfig543-benchmarks-whetstone.riscv,9.35e-02,1.30e-02,4.64e-03,0.111
CRTEDConfig544-benchmarks-mt-vvadd.riscv,9.68e-02,1.60e-02,5.20e-03,0.118
CRTEDConfig544-benchmarks-whetstone.riscv,9.70e-02,1.34e-02,5.23e-03,0.116
CRTEDConfig545-benchmarks-mt-vvadd.riscv,9.85e-02,1.38e-02,5.82e-03,0.118
CRTEDConfig545-benchmarks-whetstone.riscv,9.89e-02,1.19e-02,5.86e-03,0.117
CRTEDConfig546-benchmarks-mt-vvadd.riscv,9.78e-02,1.58e-02,4.58e-03,0.118
CRTEDConfig546-benchmarks-whetstone.riscv,9.92e-02,1.42e-02,4.61e-03,0.118
CRTEDConfig547-benchmarks-mt-vvadd.riscv,8.73e-02,1.23e-02,5.17e-03,0.105
CRTEDConfig547-benchmarks-whetstone.riscv,8.95e-02,1.11e-02,5.20e-03,0.106
CRTEDConfig548-benchmarks-mt-vvadd.riscv,8.82e-02,1.65e-02,4.15e-03,0.109
CRTEDConfig548-benchmarks-whetstone.riscv,8.62e-02,1.37e-02,4.18e-03,0.104
CRTEDConfig549-benchmarks-mt-vvadd.riscv,9.06e-02,1.44e-02,4.66e-03,0.110
CRTEDConfig549-benchmarks-whetstone.riscv,9.10e-02,1.23e-02,4.69e-03,0.108
CRTEDConfig550-benchmarks-mt-vvadd.riscv,0.118,1.86e-02,5.94e-03,0.142
CRTEDConfig550-benchmarks-whetstone.riscv,0.119,1.64e-02,5.97e-03,0.141
CRTEDConfig551-benchmarks-mt-vvadd.riscv,0.111,1.83e-02,4.93e-03,0.135
CRTEDConfig551-benchmarks-whetstone.riscv,0.112,1.59e-02,4.97e-03,0.133
CRTEDConfig552-benchmarks-mt-vvadd.riscv,8.73e-02,1.44e-02,5.05e-03,0.107
CRTEDConfig552-benchmarks-whetstone.riscv,8.80e-02,1.26e-02,5.08e-03,0.106
CRTEDConfig553-benchmarks-mt-vvadd.riscv,0.101,1.74e-02,4.68e-03,0.123
CRTEDConfig553-benchmarks-whetstone.riscv,9.99e-02,1.48e-02,4.72e-03,0.119
CRTEDConfig554-benchmarks-mt-vvadd.riscv,8.22e-02,1.39e-02,4.38e-03,0.100
CRTEDConfig554-benchmarks-whetstone.riscv,8.40e-02,1.23e-02,4.40e-03,0.101
CRTEDConfig555-benchmarks-mt-vvadd.riscv,8.48e-02,1.41e-02,5.06e-03,0.104
CRTEDConfig555-benchmarks-whetstone.riscv,8.58e-02,1.24e-02,5.10e-03,0.103
CRTEDConfig556-benchmarks-mt-vvadd.riscv,0.107,1.84e-02,5.12e-03,0.131
CRTEDConfig556-benchmarks-whetstone.riscv,0.105,1.55e-02,5.16e-03,0.125
CRTEDConfig557-benchmarks-mt-vvadd.riscv,0.103,1.62e-02,4.91e-03,0.124
CRTEDConfig557-benchmarks-whetstone.riscv,0.103,1.44e-02,4.93e-03,0.123
