Configure,Int Power,Switch Power,Leak Power,Total Power
LargeBoomProConfig-benchmarks-qurt.riscv,2.49e-02,4.04e-03,5.05e-03,3.40e-02
LargeBoomProConfig-benchmarks-rv64ui-p-lui_200,2.83e-02,4.63e-03,4.92e-03,3.79e-02
LargeBoomProConfig-benchmarks-rv64ud-p-structural_200,3.27e-02,6.81e-03,4.95e-03,4.44e-02
LargeBoomConfig-benchmarks-dhrystone.riscv,2.64e-02,6.88e-03,3.90e-03,3.72e-02
LargeBoomConfig-benchmarks-median.riscv,2.16e-02,4.27e-03,3.87e-03,2.98e-02
LargeBoomConfig-benchmarks-multiply.riscv,2.37e-02,5.12e-03,3.89e-03,3.27e-02
LargeBoomConfig-benchmarks-qsort.riscv,2.44e-02,5.93e-03,3.92e-03,3.43e-02
LargeBoomConfig-benchmarks-rsort.riscv,2.64e-02,6.55e-03,3.90e-03,3.69e-02
LargeBoomConfig-benchmarks-spmv.riscv,2.08e-02,3.72e-03,3.86e-03,2.84e-02
LargeBoomConfig-benchmarks-towers.riscv,2.19e-02,4.01e-03,3.87e-03,2.98e-02
LargeBoomConfig-benchmarks-vvadd.riscv,2.03e-02,3.25e-03,3.85e-03,2.74e-02
LargeBoomConfig-benchmarks-rv64ui-p-bne_200,2.44e-02,5.61e-03,3.85e-03,3.38e-02
LargeBoomConfig-benchmarks-compress.riscv,1.85e-02,2.31e-03,3.83e-03,2.46e-02
LargeBoomConfig-benchmarks-add_fp_large.riscv,1.88e-02,2.21e-03,3.85e-03,2.49e-02
LargeBoomConfig-benchmarks-add_fp.riscv,1.88e-02,2.22e-03,3.85e-03,2.49e-02
LargeBoomConfig-benchmarks-fft.riscv,2.18e-02,4.04e-03,3.93e-03,2.98e-02
LargeBoomConfig-benchmarks-hello_world.riscv,2.29e-02,4.27e-03,3.91e-03,3.10e-02
LargeBoomConfig-benchmarks-rv64ui-p-ori_200,2.55e-02,6.12e-03,3.86e-03,3.55e-02
LargeBoomConfig-benchmarks-tarai.riscv,1.83e-02,2.00e-03,3.82e-03,2.41e-02
LargeBoomConfig-benchmarks-branchy_large.riscv,1.79e-02,1.76e-03,3.82e-03,2.35e-02
LargeBoomConfig-benchmarks-branchy.riscv,1.79e-02,1.76e-03,3.82e-03,2.35e-02
LargeBoomConfig-benchmarks-add_int_large.riscv,2.24e-02,4.05e-03,3.91e-03,3.04e-02
LargeBoomConfig-benchmarks-rv64ui-p-jal_200,2.38e-02,3.46e-03,3.82e-03,3.11e-02
