Configure,Int Power,Switch Power,Leak Power,Total Power
Config78-benchmarks-mt-vvadd.riscv,5.38e-02,7.55e-03,3.26e-03,6.47e-02
Config78-benchmarks-fft.riscv,5.54e-02,8.63e-03,3.33e-03,6.74e-02
Config78-benchmarks-h264_dec.riscv,6.26e-02,1.32e-02,3.27e-03,7.91e-02
Config79-benchmarks-whetstone.riscv,7.17e-02,9.68e-03,4.09e-03,8.55e-02
Config79-benchmarks-mt-vvadd.riscv,7.34e-02,1.18e-02,4.07e-03,8.93e-02
Config79-benchmarks-fft.riscv,7.67e-02,1.34e-02,4.14e-03,9.42e-02
Config79-benchmarks-h264_dec.riscv,8.62e-02,1.99e-02,4.08e-03,0.110
Config80-benchmarks-whetstone.riscv,6.34e-02,9.31e-03,2.84e-03,7.55e-02
Config80-benchmarks-mt-vvadd.riscv,6.15e-02,9.48e-03,2.83e-03,7.38e-02
Config81-benchmarks-whetstone.riscv,7.51e-02,9.01e-03,4.75e-03,8.89e-02
Config81-benchmarks-mt-vvadd.riscv,7.52e-02,1.10e-02,4.71e-03,9.09e-02
Config81-benchmarks-fft.riscv,8.11e-02,1.39e-02,4.81e-03,9.98e-02
Config81-benchmarks-h264_dec.riscv,8.66e-02,1.94e-02,4.72e-03,0.111
Config82-benchmarks-whetstone.riscv,6.46e-02,9.56e-03,2.92e-03,7.71e-02
Config82-benchmarks-mt-vvadd.riscv,6.32e-02,1.01e-02,2.91e-03,7.62e-02
Config82-benchmarks-fft.riscv,6.82e-02,1.23e-02,2.95e-03,8.35e-02
Config82-benchmarks-h264_dec.riscv,7.09e-02,1.46e-02,2.91e-03,8.84e-02
Config83-benchmarks-whetstone.riscv,5.80e-02,6.31e-03,3.59e-03,6.79e-02
Config83-benchmarks-mt-vvadd.riscv,5.76e-02,7.59e-03,3.58e-03,6.88e-02
Config83-benchmarks-fft.riscv,6.19e-02,9.52e-03,3.64e-03,7.51e-02
Config84-benchmarks-whetstone.riscv,5.03e-02,5.94e-03,2.58e-03,5.88e-02
Config84-benchmarks-mt-vvadd.riscv,4.90e-02,6.89e-03,2.56e-03,5.85e-02
Config84-benchmarks-fft.riscv,5.30e-02,8.98e-03,2.60e-03,6.46e-02
Config84-benchmarks-h264_dec.riscv,5.52e-02,1.05e-02,2.57e-03,6.82e-02
Config85-benchmarks-whetstone.riscv,7.05e-02,9.36e-03,3.55e-03,8.34e-02
Config85-benchmarks-mt-vvadd.riscv,6.89e-02,1.02e-02,3.52e-03,8.26e-02
Config85-benchmarks-fft.riscv,7.16e-02,1.14e-02,3.58e-03,8.66e-02
Config86-benchmarks-whetstone.riscv,6.37e-02,9.42e-03,3.08e-03,7.62e-02
Config86-benchmarks-mt-vvadd.riscv,6.39e-02,1.12e-02,3.06e-03,7.81e-02
Config86-benchmarks-fft.riscv,6.54e-02,1.16e-02,3.11e-03,8.01e-02
