Configure,Cycles
chipyard.TestHarness.GigaBoomProConfig-ChipTop-cjpeg_wrbmp.riscv,81522
chipyard.TestHarness.GigaBoomProConfig-ChipTop-complex_updates.riscv,15853
chipyard.TestHarness.GigaBoomProConfig-ChipTop-countnegative.riscv,28534
chipyard.TestHarness.GigaBoomProConfig-ChipTop-cover.riscv,14573
chipyard.TestHarness.GigaBoomProConfig-ChipTop-crc.riscv,39684
chipyard.TestHarness.GigaBoomProConfig-ChipTop-duff.riscv,15417
chipyard.TestHarness.GigaBoomProConfig-ChipTop-fac.riscv,14170
chipyard.TestHarness.GigaBoomProConfig-ChipTop-fft.riscv,133380
chipyard.TestHarness.GigaBoomProConfig-ChipTop-fibonacci.riscv,37716
chipyard.TestHarness.GigaBoomProConfig-ChipTop-fir2dim.riscv,17068
chipyard.TestHarness.GigaBoomProConfig-ChipTop-fmref.riscv,171392
chipyard.TestHarness.GigaBoomProConfig-ChipTop-h264_dec.riscv,128296
chipyard.TestHarness.GigaBoomProConfig-ChipTop-hello_world_large.riscv,328145
chipyard.TestHarness.GigaBoomProConfig-ChipTop-hello_world.riscv,139710
chipyard.TestHarness.GigaBoomProConfig-ChipTop-huff_dec.riscv,110557
chipyard.TestHarness.GigaBoomProConfig-ChipTop-iir.riscv,14964
chipyard.TestHarness.GigaBoomProConfig-ChipTop-insertsort.riscv,15375
chipyard.TestHarness.GigaBoomProConfig-ChipTop-jfdcint.riscv,17475
chipyard.TestHarness.GigaBoomProConfig-ChipTop-lms.riscv,
chipyard.TestHarness.GigaBoomProConfig-ChipTop-ludcmp.riscv,51525
chipyard.TestHarness.GigaBoomProConfig-ChipTop-martrix_mult.riscv,126203
chipyard.TestHarness.GigaBoomProConfig-ChipTop-matrix1.riscv,
chipyard.TestHarness.GigaBoomProConfig-ChipTop-minver.riscv,17358
chipyard.TestHarness.GigaBoomProConfig-ChipTop-ndes.riscv,68133
chipyard.TestHarness.GigaBoomProConfig-ChipTop-petrinet.riscv,24093
chipyard.TestHarness.GigaBoomProConfig-ChipTop-prime.riscv,21937
chipyard.TestHarness.GigaBoomProConfig-ChipTop-recursion.riscv,15119
chipyard.TestHarness.GigaBoomProConfig-ChipTop-reduce_array.riscv,284369
chipyard.TestHarness.GigaBoomProConfig-ChipTop-statemate.riscv,39404
chipyard.TestHarness.GigaBoomProConfig-ChipTop-st.riscv,120420
chipyard.TestHarness.GigaBoomProConfig-ChipTop-basicmath_small.riscv,78131
chipyard.TestHarness.GigaBoomProConfig-ChipTop-bubblesort.riscv,153225
chipyard.TestHarness.GigaBoomProConfig-ChipTop-cnt.riscv,21248
chipyard.TestHarness.GigaBoomProConfig-ChipTop-compress.riscv,26586
chipyard.TestHarness.GigaBoomProConfig-ChipTop-edn.riscv,50023
chipyard.TestHarness.GigaBoomProConfig-ChipTop-expint.riscv,41219
chipyard.TestHarness.GigaBoomProConfig-ChipTop-frac.riscv,23597
chipyard.TestHarness.GigaBoomProConfig-ChipTop-levenshtein.riscv,58473
chipyard.TestHarness.GigaBoomProConfig-ChipTop-lift.riscv,146213
chipyard.TestHarness.GigaBoomProConfig-ChipTop-mergesort.riscv,143577
chipyard.TestHarness.GigaBoomProConfig-ChipTop-ns.riscv,22354
chipyard.TestHarness.GigaBoomProConfig-ChipTop-qurt.riscv,210368
chipyard.TestHarness.GigaBoomProConfig-ChipTop-select.riscv,16228
chipyard.TestHarness.GigaBoomProConfig-ChipTop-sqrt.riscv,146817
chipyard.TestHarness.GigaBoomProConfig-ChipTop-tarai.riscv,14817
chipyard.TestHarness.GigaBoomProConfig-ChipTop-whetstone.riscv,39743
chipyard.TestHarness.GigaBoomConfig-ChipTop-dhrystone.riscv,102786
chipyard.TestHarness.GigaBoomConfig-ChipTop-median.riscv,28743
chipyard.TestHarness.GigaBoomConfig-ChipTop-mm.riscv,173274
chipyard.TestHarness.GigaBoomConfig-ChipTop-mt-matmul.riscv,25549
chipyard.TestHarness.GigaBoomConfig-ChipTop-mt-vvadd.riscv,85000
chipyard.TestHarness.GigaBoomConfig-ChipTop-multiply.riscv,40451
chipyard.TestHarness.GigaBoomConfig-ChipTop-pmp.riscv,320923
chipyard.TestHarness.GigaBoomConfig-ChipTop-qsort.riscv,163549
chipyard.TestHarness.GigaBoomConfig-ChipTop-rsort.riscv,123443
chipyard.TestHarness.GigaBoomConfig-ChipTop-spmv.riscv,112992
chipyard.TestHarness.GigaBoomConfig-ChipTop-towers.riscv,16055
chipyard.TestHarness.GigaBoomConfig-ChipTop-vvadd.riscv,17805
chipyard.TestHarness.GigaBoomConfig-ChipTop-add_fp_large.riscv,17218
chipyard.TestHarness.GigaBoomConfig-ChipTop-add_fp.riscv,17216
chipyard.TestHarness.GigaBoomConfig-ChipTop-add_int_large.riscv,155978
chipyard.TestHarness.GigaBoomConfig-ChipTop-add_int.riscv,155273
chipyard.TestHarness.GigaBoomConfig-ChipTop-adpcm_dec.riscv,152731
chipyard.TestHarness.GigaBoomConfig-ChipTop-adpcm_enc.riscv,153474
chipyard.TestHarness.GigaBoomConfig-ChipTop-binarysearch.riscv,31970
chipyard.TestHarness.GigaBoomConfig-ChipTop-bitcount.riscv,29095
chipyard.TestHarness.GigaBoomConfig-ChipTop-bitonic.riscv,19935
chipyard.TestHarness.GigaBoomConfig-ChipTop-branchy_large.riscv,13719
chipyard.TestHarness.GigaBoomConfig-ChipTop-branchy.riscv,13715
chipyard.TestHarness.GigaBoomConfig-ChipTop-bsort.riscv,35993
chipyard.TestHarness.GigaBoomConfig-ChipTop-cjpeg_wrbmp.riscv,81475
chipyard.TestHarness.GigaBoomConfig-ChipTop-complex_updates.riscv,15859
chipyard.TestHarness.GigaBoomConfig-ChipTop-countnegative.riscv,28575
chipyard.TestHarness.GigaBoomConfig-ChipTop-cover.riscv,14572
chipyard.TestHarness.GigaBoomConfig-ChipTop-crc.riscv,39677
chipyard.TestHarness.GigaBoomConfig-ChipTop-duff.riscv,15427
chipyard.TestHarness.GigaBoomConfig-ChipTop-fac.riscv,14179
chipyard.TestHarness.GigaBoomConfig-ChipTop-fft.riscv,133101
chipyard.TestHarness.GigaBoomConfig-ChipTop-fibonacci.riscv,37865
chipyard.TestHarness.GigaBoomConfig-ChipTop-fir2dim.riscv,17097
chipyard.TestHarness.GigaBoomConfig-ChipTop-h264_dec.riscv,128363
chipyard.TestHarness.GigaBoomConfig-ChipTop-hello_world_large.riscv,327578
chipyard.TestHarness.GigaBoomConfig-ChipTop-hello_world.riscv,139544
chipyard.TestHarness.GigaBoomConfig-ChipTop-huff_dec.riscv,110980
chipyard.TestHarness.GigaBoomConfig-ChipTop-iir.riscv,14956
chipyard.TestHarness.GigaBoomConfig-ChipTop-insertsort.riscv,15459
chipyard.TestHarness.GigaBoomConfig-ChipTop-jfdcint.riscv,17483
chipyard.TestHarness.GigaBoomConfig-ChipTop-lms.riscv,
chipyard.TestHarness.GigaBoomConfig-ChipTop-ludcmp.riscv,51524
chipyard.TestHarness.GigaBoomConfig-ChipTop-martrix_mult.riscv,127612
chipyard.TestHarness.GigaBoomConfig-ChipTop-matrix1.riscv,
chipyard.TestHarness.GigaBoomConfig-ChipTop-minver.riscv,17377
chipyard.TestHarness.GigaBoomConfig-ChipTop-ndes.riscv,67755
chipyard.TestHarness.GigaBoomConfig-ChipTop-petrinet.riscv,24074
chipyard.TestHarness.GigaBoomConfig-ChipTop-recursion.riscv,15192
chipyard.TestHarness.GigaBoomConfig-ChipTop-reduce_array.riscv,284324
chipyard.TestHarness.GigaBoomConfig-ChipTop-statemate.riscv,39666
chipyard.TestHarness.GigaBoomConfig-ChipTop-st.riscv,120451
chipyard.TestHarness.GigaBoomConfig-ChipTop-rv64ua-p-amoadd_d_200,21752
chipyard.TestHarness.GigaBoomConfig-ChipTop-rv64ud-p-fadd_200,83393
chipyard.TestHarness.GigaBoomConfig-ChipTop-rv64ud-p-fclass_200,7458
chipyard.TestHarness.GigaBoomConfig-ChipTop-rv64ud-p-move_200,60813
chipyard.TestHarness.GigaBoomConfig-ChipTop-rv64ud-p-structural_200,12743
chipyard.TestHarness.GigaBoomConfig-ChipTop-rv64ui-p-add_200,40129
chipyard.TestHarness.GigaBoomConfig-ChipTop-rv64ui-p-auipc_200,4422
chipyard.TestHarness.GigaBoomConfig-ChipTop-rv64ui-p-bne_200,28052
