Configure,Int Power,Switch Power,Leak Power,Total Power
Config260-benchmarks-whetstone.riscv,6.68e-02,7.42e-03,3.69e-03,7.79e-02
Config261-benchmarks-mt-vvadd.riscv,5.52e-02,7.98e-03,2.72e-03,6.59e-02
Config261-benchmarks-whetstone.riscv,5.52e-02,6.25e-03,2.74e-03,6.42e-02
Config262-benchmarks-mt-vvadd.riscv,5.69e-02,7.64e-03,3.63e-03,6.82e-02
Config262-benchmarks-whetstone.riscv,6.56e-02,1.03e-02,3.63e-03,7.95e-02
Config263-benchmarks-mt-vvadd.riscv,7.03e-02,8.66e-03,4.02e-03,8.30e-02
Config263-benchmarks-whetstone.riscv,6.88e-02,6.38e-03,4.04e-03,7.93e-02
Config264-benchmarks-mt-vvadd.riscv,6.29e-02,6.78e-03,3.55e-03,7.32e-02
Config264-benchmarks-whetstone.riscv,6.40e-02,6.27e-03,3.58e-03,7.38e-02
Config265-benchmarks-mt-vvadd.riscv,6.29e-02,8.60e-03,3.64e-03,7.51e-02
Config265-benchmarks-whetstone.riscv,7.34e-02,1.22e-02,3.64e-03,8.92e-02
Config266-benchmarks-mt-vvadd.riscv,4.66e-02,6.31e-03,2.58e-03,5.55e-02
Config266-benchmarks-whetstone.riscv,4.84e-02,5.86e-03,2.59e-03,5.69e-02
Config267-benchmarks-mt-vvadd.riscv,6.14e-02,9.57e-03,3.59e-03,7.45e-02
Config267-benchmarks-whetstone.riscv,6.30e-02,9.31e-03,3.61e-03,7.60e-02
Config268-benchmarks-mt-vvadd.riscv,6.30e-02,9.69e-03,3.38e-03,7.61e-02
Config268-benchmarks-whetstone.riscv,6.45e-02,9.08e-03,3.39e-03,7.70e-02
Config269-benchmarks-mt-vvadd.riscv,9.15e-02,1.52e-02,4.20e-03,0.111
Config269-benchmarks-whetstone.riscv,9.41e-02,1.38e-02,4.23e-03,0.112
Config270-benchmarks-mt-vvadd.riscv,6.80e-02,1.06e-02,3.32e-03,8.19e-02
Config270-benchmarks-whetstone.riscv,6.85e-02,9.31e-03,3.33e-03,8.11e-02
Config271-benchmarks-mt-vvadd.riscv,5.76e-02,6.52e-03,3.12e-03,6.73e-02
Config271-benchmarks-whetstone.riscv,5.94e-02,5.86e-03,3.13e-03,6.84e-02
Config272-benchmarks-mt-vvadd.riscv,7.42e-02,1.19e-02,3.83e-03,8.99e-02
Config272-benchmarks-whetstone.riscv,7.49e-02,1.02e-02,3.85e-03,8.89e-02
Config273-benchmarks-mt-vvadd.riscv,6.50e-02,1.11e-02,3.14e-03,7.92e-02
Config273-benchmarks-whetstone.riscv,6.47e-02,9.37e-03,3.16e-03,7.73e-02
Config274-benchmarks-mt-vvadd.riscv,6.87e-02,9.23e-03,4.25e-03,8.22e-02
Config274-benchmarks-whetstone.riscv,6.89e-02,7.92e-03,4.28e-03,8.11e-02
Config275-benchmarks-mt-vvadd.riscv,4.18e-02,5.51e-03,2.17e-03,4.95e-02
Config275-benchmarks-whetstone.riscv,4.45e-02,5.35e-03,2.18e-03,5.21e-02
Config276-benchmarks-mt-vvadd.riscv,0.100,1.70e-02,4.66e-03,0.122
Config276-benchmarks-whetstone.riscv,9.57e-02,1.31e-02,4.70e-03,0.113
Config277-benchmarks-mt-vvadd.riscv,6.47e-02,1.01e-02,3.25e-03,7.80e-02
Config277-benchmarks-whetstone.riscv,6.60e-02,9.37e-03,3.28e-03,7.86e-02
Config278-benchmarks-mt-vvadd.riscv,7.72e-02,1.12e-02,4.68e-03,9.31e-02
Config278-benchmarks-whetstone.riscv,7.51e-02,8.49e-03,4.72e-03,8.83e-02
Config279-benchmarks-mt-vvadd.riscv,5.04e-02,7.01e-03,2.73e-03,6.02e-02
Config280-benchmarks-mt-vvadd.riscv,6.26e-02,8.42e-03,3.21e-03,7.42e-02
Config280-benchmarks-whetstone.riscv,6.04e-02,5.96e-03,3.24e-03,6.95e-02
