8	32	512	2	16	1	8	1	1	1	64	4	32	1	0.846065	0.006733333	607965.579
8	32	512	1	16	0	8	1	1	1	64	1	16	0	0.358118333	0.006268667	355704.111
6	28	512	2	16	0	1	0	0	1	32	4	32	2	0.637587	0.006124	407871.034
6	28	512	2	4	0	8	1	1	1	64	2	4	0	0.632267	0.005620667	481514.022
0	0	0	2	4	0	8	0	0	0	64	2	32	1	0.531277333	0.005063333	512455.39
12	56	1024	1	4	0	1	0	0	1	64	1	4	2	0.351306667	0.006250667	317319.389
3	14	256	2	16	1	8	0	0	1	64	2	4	0	0.814905	0.006196	594761.293
8	32	512	4	32	1	8	1	1	0	64	1	4	0	0.516969333	0.006495667	755927.773
0	0	0	2	4	0	1	0	0	0	64	1	16	0	0.293327333	0.005044667	506294.631
0	0	0	2	4	0	8	1	1	1	64	2	16	0	0.525258667	0.005567	460091.422
8	32	512	4	32	1	1	0	0	0	64	2	32	1	0.825986333	0.006305333	748950.383
8	32	512	1	16	0	8	1	1	0	64	1	4	2	0.351308333	0.005797	479040.99
6	28	512	2	4	0	8	1	1	0	64	1	16	0	0.358134	0.005516333	543629.13
8	32	512	2	16	1	1	0	0	0	64	2	32	1	0.825986333	0.006235	681982.39
8	32	512	1	16	1	8	1	1	0	64	1	16	0	0.516955333	0.006325333	656521.583
0	0	0	2	32	1	8	1	1	1	64	4	32	1	0.727774333	0.006222	585390.725
3	14	256	1	16	1	8	1	1	1	64	1	16	0	0.516877333	0.006662333	466268.752
6	28	512	2	4	0	1	0	0	1	64	1	16	0	0.358134	0.005962667	372390.865
12	56	1024	2	16	1	8	1	1	1	64	2	16	0	0.815662667	0.006952	635142.035
8	32	512	1	16	1	1	0	0	0	64	2	4	0	0.815661333	0.006009	751999.663
6	28	512	2	4	1	8	0	0	1	64	2	16	0	0.815661333	0.006326667	604696.256
12	56	1024	2	32	0	8	0	0	1	32	4	32	2	0.637692333	0.006265	440785.171
3	14	256	2	32	0	8	1	1	0	64	1	16	0	0.358207	0.005382667	533929.808
8	32	512	4	32	1	8	1	1	1	32	4	32	2	0.822719333	0.00677	611678.739
12	56	1024	2	4	0	1	0	0	1	32	1	4	0	0.309435333	0.005993667	310086.05
0	0	0	1	16	0	1	0	0	0	64	1	4	0	0.293327333	0.004995333	472556.639
12	56	1024	2	32	0	8	0	0	0	64	4	32	1	0.650962	0.005689333	646992.275
12	56	1024	2	16	0	8	0	0	1	64	1	4	2	0.351306667	0.006474667	358763.273
