fetchWidth,decodeWidth,numFetchBufferEntries,numRobEntries,numRasEntries,numIntPhysRegisters,numFpPhysRegisters,numLdqEntries,numStqEntries,maxBrCount,mem_issueWidth,int_issueWidth,fp_issueWidth,DCacheParams_nWays,DCacheParams_nMSHRs,DCacheParams_nTLBEntries,ICacheParams_nWays,ICacheParams_nTLBEntries,ICacheParams_fetchBytes,latency,power
4 2 40 128 24 48 48 16 16 20 1 5 1 4 8 32 8 32 2,41491.0,0.0803
8 2 16 130 24 80 80 24 24 12 1 1 1 4 4 16 2 8 4,41474.0,0.0777
8 3 24 96 24 112 112 24 24 20 2 4 2 2 4 16 2 32 4,41054.0,0.102
4 3 24 96 16 64 64 8 8 12 1 1 1 4 4 8 8 16 2,41455.0,0.0714
4 3 24 96 24 80 80 32 32 20 2 4 2 4 8 16 2 16 2,41114.0,0.0926
4 3 24 96 16 96 96 32 32 20 2 2 2 4 4 16 8 8 2,41126.0
8 3 24 96 24 112 112 8 8 20 1 5 1 8 4 32 2 8 4,41407.0,0.0938
4 3 24 96 16 48 48 24 24 12 2 2 2 2 2 32 8 32 2,41289.0,0.067
8 3 24 96 16 64 64 24 24 16 2 4 2 4 4 16 8 8 4,41054.0,0.0943
4 3 24 96 16 96 96 16 16 20 2 4 2 2 8 16 4 8 2,41123.0,0.0828
8 3 24 96 16 96 96 16 16 12 2 2 2 2 2 8 2 8 4,41093.0,0.085
8 3 24 96 32 48 48 32 32 20 2 4 2 2 2 32 4 8 4,41215.0,0.1
8 3 24 96 24 48 48 16 16 12 2 2 2 4 8 8 4 32 4,41252.0,0.0922
4 3 24 96 16 96 96 32 32 12 2 2 2 2 4 8 4 8 2,41126.0,0.0801
8 3 24 96 24 112 112 16 16 8 2 5 2 4 4 16 2 8 4,41062.0,0.10300000000000001
4 3 24 96 24 64 64 8 8 16 1 2 1 4 2 16 2 8 2,41411.0,0.0631
8 3 24 96 32 80 80 24 24 12 2 4 2 2 2 16 4 32 4,41061.0,0.0906
8 3 24 96 16 112 112 24 24 12 2 2 2 4 2 32 4 16 4,41086.0,0.0908
8 3 24 96 32 48 48 32 32 20 1 2 1 2 2 32 2 16 4,41456.0,0.0963
4 3 24 96 24 112 112 32 32 20 2 4 2 2 8 32 4 16 2,41114.0,0.0964
4 3 24 96 32 112 112 8 8 16 1 4 1 2 2 16 2 32 2,41409.0,0.0696
8 3 24 96 32 96 96 16 16 12 1 4 1 4 4 16 4 8 4,41271.0,0.0857
4 3 24 96 32 80 80 16 16 16 2 4 2 8 2 16 8 16 2,41113.0,0.0788
8 3 24 96 32 80 80 8 8 12 2 5 2 2 2 16 2 32 4,41196.0,0.0852
8 3 24 96 32 64 64 32 32 12 1 1 1 8 8 32 2 32 4,41341.0,0.0848
4 3 24 96 16 64 64 16 16 16 1 4 1 4 2 32 4 16 2,41311.0,0.0684
4 3 24 96 32 96 96 8 8 20 1 4 1 2 8 32 4 32 2,41419.0,0.0749
8 3 24 96 24 48 48 8 8 12 1 5 1 4 8 32 2 8 4,41491.0,0.0784
8 4 16 128 24 48 48 24 24 8 1 3 1 4 2 16 8 16 4,41584.0,0.093
8 4 24 128 16 112 112 24 24 16 2 2 2 4 2 8 2 8 4,41020.0,0.102
8 4 40 128 16 96 96 8 8 16 1 1 1 8 8 16 4 16 4,41458.0
8 4 24 128 16 96 96 32 32 8 2 1 2 4 2 32 2 8 4,41061.0,0.1
4 4 40 64 32 112 112 8 8 8 1 5 1 8 8 32 2 32 2,41452.0,0.0705
8 4 40 32 16 80 80 8 8 12 2 1 2 4 4 32 8 32 4,41401.0,0.0858
