episode	mean-power
197	0.076611
198	0.076766
199	0.076917
200	0.077066
201	0.077212
202	0.079013
203	0.082418
204	0.084112
205	0.085772
206	0.087399
207	0.088993
208	0.090556
209	0.092087
210	0.093588
211	0.095058
212	0.094841
213	0.092988
214	0.091172
215	0.089393
216	0.087649
217	0.08594
218	0.084266
219	0.082625
220	0.081016
221	0.07944
222	0.077895
223	0.078016
224	0.078578
225	0.079575
226	0.080996
227	0.082833
228	0.085079
229	0.087724
230	0.090761
231	0.094183
232	0.097981
233	0.100513
234	0.102995
235	0.105427
236	0.107811
237	0.109702
238	0.111111
239	0.112046
240	0.11419
241	0.115847
242	0.118621
243	0.120894
244	0.122678
245	0.123981
246	0.124813
247	0.125629
248	0.126428
249	0.127211
250	0.126307
251	0.12542
252	0.122956
253	0.120541
254	0.118174
255	0.115855
256	0.113582
257	0.111354
258	0.109171
259	0.108675
260	0.108633
261	0.109037
262	0.109878
263	0.111146
264	0.112834
265	0.114933
266	0.117435
267	0.120332
268	0.123616
269	0.125635
270	0.127615
271	0.129555
272	0.131456
273	0.133319
274	0.135145
275	0.136934
276	0.138687
277	0.139961
278	0.140764
279	0.141107
280	0.140997
281	0.140446
282	0.141019
283	0.141136
284	0.140806
285	0.140038
286	0.13884
287	0.137667
288	0.136517
289	0.135389
290	0.134285
291	0.133202
292	0.130582
293	0.128015
294	0.12714
295	0.126282
296	0.125442
297	0.124619
298	0.123812
299	0.123021
300	0.122246
301	0.121487
302	0.120743
303	0.120013
304	0.117657
305	0.115348
306	0.113085
307	0.110868
308	0.108694
309	0.106565
310	0.106054
311	0.105554
312	0.105064
313	0.104584
314	0.104113
315	0.103652
316	0.1032
317	0.102757
318	0.102323
319	0.102342
320	0.101229
321	0.100583
322	0.100394
323	0.101805
324	0.103188
325	0.104543
326	0.105871
327	0.107173
328	0.108448
329	0.109254
330	0.109598
331	0.11113
332	0.112187
333	0.111628
334	0.111079
335	0.110541
336	0.110015
337	0.109498
338	0.108992
339	0.108497
340	0.108011
341	0.105895
342	0.103821
343	0.101788
344	0.099797
345	0.097845
346	0.095932
347	0.094058
348	0.092221
349	0.09042
350	0.088656
351	0.088655
352	0.088653
353	0.088652
354	0.0884
355	0.088078
356	0.087688
357	0.087038
358	0.086208
359	0.085127
360	0.085665
361	0.084389
362	0.083064
363	0.081691
364	0.080521
365	0.079374
366	0.07825
367	0.077342
368	0.076569
369	0.076005
370	0.073779
371	0.071599
372	0.069461
373	0.067367
374	0.065314
375	0.063303
376	0.061332
377	0.06107
378	0.060814
379	0.060563
380	0.060317
381	0.060076
382	0.05984
383	0.059609
384	0.061052
385	0.063939
386	0.068438
387	0.071214
388	0.073973
389	0.076713
390	0.079437
391	0.082143
392	0.084833
393	0.087507
394	0.088494
395	0.088027
396	0.085937
397	0.083889
398	0.081881
399	0.079914
400	0.077948
401	0.077755
402	0.077567
403	0.077381
404	0.0772
405	0.077022
406	0.076848
407	0.076677
408	0.07651
409	0.076346
410	0.076186
411	0.074257
412	0.072329
413	0.070403
414	0.068477
415	0.066553
416	0.066376
417	0.066203
418	0.066034
419	0.065868
420	0.065742
421	0.065657
422	0.065611
423	0.065604
424	0.065634
425	0.065701
426	0.06569
427	0.067313
428	0.068865
429	0.070349
430	0.071766
431	0.073116
432	0.074402
433	0.075663
434	0.07686
435	0.077997
436	0.07744
437	0.075223
438	0.073051
439	0.072593
440	0.072181
441	0.071816
442	0.071495
443	0.071181
444	0.07091
445	0.070682
446	0.070459
447	0.070241
448	0.070026
449	0.068146
450	0.067982
451	0.067783
452	0.067551
453	0.068837
454	0.07006
455	0.072892
456	0.075667
457	0.078386
458	0.081051
459	0.083663
460	0.084507
461	0.085333
462	0.086144
463	0.085386
464	0.084644
465	0.082246
466	0.079896
467	0.077592
468	0.075335
469	0.073124
470	0.070956
471	0.068832
472	0.06675
473	0.06471
474	0.064477
475	0.06425
476	0.064027
477	0.063808
478	0.063594
479	0.063384
480	0.063178
