episode	min-area
163	0.021257
164	0.020832
165	0.021717
166	0.022584
167	0.022133
168	0.02169
169	0.021256
170	0.020831
171	0.020414
172	0.020006
173	0.019606
174	0.019214
175	0.01883
176	0.018453
177	0.018477
178	0.018501
179	0.018987
180	0.019463
181	0.020376
182	0.02127
183	0.022146
184	0.023004
185	0.023846
186	0.02467
187	0.025479
188	0.026271
189	0.027047
190	0.027807
191	0.028553
192	0.029283
193	0.029999
194	0.030179
195	0.030355
196	0.030528
197	0.030697
198	0.030863
199	0.031025
200	0.031185
201	0.031341
202	0.031494
203	0.031351
204	0.031211
205	0.031074
206	0.030939
207	0.030808
208	0.030679
209	0.030552
210	0.030428
211	0.030307
212	0.030188
213	0.030885
214	0.031569
215	0.032239
216	0.032896
217	0.03354
218	0.034171
219	0.034789
220	0.035394
221	0.035988
222	0.03657
223	0.036587
224	0.036604
225	0.03662
226	0.036636
227	0.036652
228	0.036667
229	0.036682
230	0.036697
231	0.036711
232	0.036725
233	0.037292
234	0.037848
235	0.038393
236	0.038926
237	0.039449
238	0.039962
239	0.040464
240	0.040625
241	0.040783
242	0.039967
243	0.039168
244	0.038385
245	0.037617
246	0.036865
247	0.036127
248	0.035405
249	0.034697
250	0.034003
251	0.033323
252	0.033958
253	0.03458
254	0.03519
255	0.035788
256	0.036374
257	0.036948
258	0.03751
259	0.037501
260	0.037492
261	0.037483
262	0.037474
263	0.037465
264	0.037457
265	0.037448
266	0.03744
267	0.037432
268	0.037425
269	0.037978
270	0.03852
271	0.039051
272	0.039571
273	0.040081
274	0.040581
275	0.041071
276	0.041551
277	0.042022
278	0.042483
279	0.042935
280	0.043378
281	0.043812
282	0.043586
283	0.043364
284	0.043147
285	0.042934
286	0.042725
287	0.042521
288	0.04232
289	0.042124
290	0.041931
291	0.041743
292	0.042209
293	0.042667
294	0.042552
295	0.042439
296	0.042328
297	0.042219
298	0.042113
299	0.042009
300	0.041907
301	0.041807
302	0.041709
303	0.041613
304	0.042082
305	0.042542
306	0.042993
307	0.043434
308	0.043867
309	0.044291
310	0.043603
311	0.042928
312	0.042266
313	0.041618
314	0.040983
315	0.040361
316	0.03975
317	0.039153
318	0.038567
319	0.037992
320	0.038534
321	0.039065
322	0.039585
323	0.038794
324	0.038018
325	0.037257
326	0.036512
327	0.035782
328	0.035066
329	0.034365
330	0.033678
331	0.033004
332	0.032344
333	0.032443
334	0.03254
335	0.032635
336	0.032728
337	0.032819
338	0.032909
339	0.032996
340	0.033082
341	0.033722
342	0.034349
343	0.034964
344	0.035566
345	0.036156
346	0.036735
347	0.037301
348	0.037857
349	0.038401
350	0.038935
351	0.038333
352	0.037743
353	0.037166
354	0.036599
355	0.036044
356	0.0355
357	0.034967
358	0.034445
359	0.033933
360	0.033431
361	0.033368
362	0.033307
363	0.033247
364	0.033187
365	0.03313
366	0.033073
367	0.033017
368	0.032963
369	0.032909
370	0.033018
371	0.033125
372	0.033229
373	0.033331
374	0.033431
375	0.03353
376	0.033626
377	0.032637
378	0.031669
379	0.030719
380	0.029789
381	0.028877
382	0.027984
383	0.027108
384	0.025613
385	0.024148
386	0.022712
387	0.021305
388	0.019926
389	0.018575
390	0.01725
391	0.015952
392	0.014681
393	0.013434
394	0.012427
395	0.011439
396	0.011977
397	0.012504
398	0.013021
399	0.013528
400	0.014024
401	0.013506
402	0.012998
403	0.012501
404	0.012013
405	0.011536
406	0.011067
407	0.010609
408	0.010159
409	0.009718
410	0.009287
411	0.009868
412	0.010437
413	0.010995
414	0.011542
415	0.012078
416	0.011404
417	0.010743
418	0.010096
419	0.009461
420	0.00884
421	0.00823
422	0.007633
423	0.007048
424	0.006474
425	0.005912
426	0.005794
427	0.005363
428	0.00494
429	0.004525
430	0.004119
431	0.003721
432	0.003331
433	0.002948
434	0.002574
435	0.002206
436	0.001847
437	0.002577
438	0.003292
439	0.002897
440	0.00251
441	0.002131
442	0.001759
443	0.001395
444	0.001038
445	0.000688
446	0.000345
447	0.000009
448	-0.00032
449	0.000453
450	0.000169
451	-0.000109
452	-0.000382
453	-0.00065
454	-0.000912
455	-0.001322
456	-0.001725
457	-0.002119
458	-0.002506
459	-0.002885
460	-0.003256
461	-0.00362
462	-0.003977
463	-0.004326
464	-0.004669
465	-0.003808
466	-0.002965
467	-0.002139
468	-0.00133
469	-0.000536
470	0.000241
471	0.001003
472	0.00175
473	0.002482
474	0.003199
475	0.003902
476	0.004591
477	0.005266
478	0.005927
479	0.006576
480	0.007211
