episode	max-area
163	0.073448
164	0.073281
165	0.073117
166	0.072956
167	0.072798
168	0.072644
169	0.072493
170	0.072344
171	0.072199
172	0.072057
173	0.071917
174	0.07178
175	0.071646
176	0.071515
177	0.071386
178	0.07126
179	0.071136
180	0.071015
181	0.070896
182	0.07078
183	0.070666
184	0.070554
185	0.070445
186	0.070337
187	0.070232
188	0.070129
189	0.070028
190	0.069929
191	0.069832
192	0.069737
193	0.069644
194	0.069552
195	0.069463
196	0.069375
197	0.069289
198	0.069205
199	0.069122
200	0.069041
201	0.068962
202	0.068885
203	0.068808
204	0.068734
205	0.068661
206	0.068589
207	0.068519
208	0.06845
209	0.068382
210	0.068316
211	0.068252
212	0.068188
213	0.068126
214	0.068065
215	0.068005
216	0.067947
217	0.067889
218	0.067833
219	0.067778
220	0.067724
221	0.067671
222	0.067619
223	0.067568
224	0.067518
225	0.06747
226	0.067422
227	0.067375
228	0.067329
229	0.067284
230	0.06724
231	0.067197
232	0.067154
233	0.067113
234	0.067072
235	0.067032
236	0.066993
237	0.066955
238	0.066917
239	0.06688
240	0.066844
241	0.066809
242	0.066774
243	0.06674
244	0.066707
245	0.066675
246	0.066643
247	0.066611
248	0.066581
249	0.066551
250	0.066521
251	0.066492
252	0.066464
253	0.066436
254	0.066409
255	0.066382
256	0.066356
257	0.066331
258	0.066306
259	0.066281
260	0.066257
261	0.066233
262	0.06621
263	0.066188
264	0.066166
265	0.066144
266	0.066122
267	0.066102
268	0.066081
269	0.066061
270	0.066041
271	0.066022
272	0.066003
273	0.065985
274	0.065967
275	0.065949
276	0.065931
277	0.065914
278	0.065898
279	0.065881
280	0.065865
281	0.065849
282	0.065834
283	0.065819
284	0.065804
285	0.065789
286	0.065775
287	0.065761
288	0.065748
289	0.065734
290	0.065721
291	0.065708
292	0.065696
293	0.065683
294	0.065671
295	0.065659
296	0.065648
297	0.065636
298	0.065625
299	0.065614
300	0.065603
301	0.065593
302	0.065582
303	0.065572
304	0.065562
305	0.065553
306	0.065543
307	0.065534
308	0.065525
309	0.065516
310	0.065507
311	0.065499
312	0.06549
313	0.065482
314	0.065474
315	0.065466
316	0.065458
317	0.06545
318	0.065443
319	0.065436
320	0.065429
321	0.065422
322	0.065415
323	0.065408
324	0.065401
325	0.065395
326	0.065389
327	0.065382
328	0.065376
329	0.06537
330	0.065364
331	0.065359
332	0.065353
333	0.065348
334	0.065342
335	0.065337
336	0.065332
337	0.065327
338	0.065322
339	0.065317
340	0.065312
341	0.065307
342	0.065303
343	0.065298
344	0.065294
345	0.065289
346	0.065285
347	0.065281
348	0.065277
349	0.065273
350	0.065269
351	0.065265
352	0.065261
353	0.065258
354	0.065815
355	0.066362
356	0.066898
357	0.067423
358	0.068008
359	0.068581
360	0.069143
361	0.069694
362	0.070234
363	0.070763
364	0.071282
365	0.07179
366	0.072288
367	0.072775
368	0.072719
369	0.072031
370	0.071358
371	0.070697
372	0.07005
373	0.069416
374	0.068795
375	0.068186
376	0.067589
377	0.067004
378	0.06643
379	0.065869
380	0.065318
381	0.064779
382	0.06425
383	0.063732
384	0.063224
385	0.062726
386	0.062239
387	0.061761
388	0.061292
389	0.060833
390	0.060383
391	0.059943
392	0.059511
393	0.059087
394	0.058672
395	0.058266
396	0.057867
397	0.057477
398	0.057094
399	0.056719
400	0.056351
401	0.055991
402	0.055638
403	0.055292
404	0.054953
405	0.054621
406	0.054296
407	0.053976
408	0.053664
409	0.053357
410	0.053057
411	0.052763
412	0.052474
413	0.052192
414	0.051915
415	0.051643
416	0.051377
417	0.051116
418	0.050861
419	0.050611
420	0.050365
421	0.050125
422	0.049889
423	0.049658
424	0.049432
425	0.04921
426	0.048993
427	0.04878
428	0.048571
429	0.048366
430	0.048166
431	0.047969
432	0.047777
433	0.047588
434	0.047403
435	0.047222
436	0.047044
437	0.04687
438	0.0467
439	0.046533
440	0.046369
441	0.046208
442	0.046051
443	0.045897
444	0.045746
445	0.045598
446	0.045452
447	0.04531
448	0.045171
449	0.045034
450	0.0449
451	0.044769
452	0.044641
453	0.044515
454	0.044391
455	0.04427
456	0.044152
457	0.044036
458	0.043922
459	0.04381
460	0.043701
461	0.043594
462	0.043489
463	0.043386
464	0.043285
465	0.043186
466	0.043089
467	0.042994
468	0.042901
469	0.04281
470	0.04272
471	0.042633
472	0.042547
473	0.042463
474	0.042764
475	0.043059
476	0.043348
477	0.043631
478	0.043909
479	0.044181
480	0.044447
