episode	power
197	0.079682
198	0.078132
199	0.076614
200	0.075125
201	0.073667
202	0.088823
203	0.103488
204	0.101462
205	0.099477
206	0.097531
207	0.095625
208	0.093756
209	0.091925
210	0.090131
211	0.088373
212	0.086649
213	0.08496
214	0.083305
215	0.081683
216	0.080094
217	0.078536
218	0.077009
219	0.075513
220	0.074047
221	0.07261
222	0.071202
223	0.086163
224	0.088932
225	0.091646
226	0.094305
227	0.096911
228	0.099465
229	0.101968
230	0.10442
231	0.106824
232	0.10918
233	0.111488
234	0.113751
235	0.115968
236	0.118141
237	0.115822
238	0.11355
239	0.111323
240	0.125861
241	0.123388
242	0.13692
243	0.134226
244	0.131586
245	0.128998
246	0.126462
247	0.123977
248	0.121542
249	0.119155
250	0.116816
251	0.114524
252	0.112277
253	0.110076
254	0.107919
255	0.105804
256	0.103732
257	0.101702
258	0.099712
259	0.11419
260	0.116399
261	0.118563
262	0.120684
263	0.122762
264	0.124799
265	0.126795
266	0.128751
267	0.130669
268	0.132547
269	0.134389
270	0.136193
271	0.137961
272	0.139694
273	0.141392
274	0.143057
275	0.144688
276	0.146286
277	0.143405
278	0.140581
279	0.137813
280	0.135101
281	0.132443
282	0.145428
283	0.142564
284	0.139757
285	0.137006
286	0.13431
287	0.131668
288	0.129078
289	0.126541
290	0.124054
291	0.121617
292	0.119229
293	0.116889
294	0.131009
295	0.128432
296	0.125908
297	0.123434
298	0.121009
299	0.118633
300	0.116305
301	0.114023
302	0.111786
303	0.109595
304	0.107447
305	0.105342
306	0.103279
307	0.101258
308	0.099277
309	0.097335
310	0.111202
311	0.109022
312	0.106885
313	0.104792
314	0.10274
315	0.100729
316	0.098759
317	0.096828
318	0.094935
319	0.097529
320	0.10007
321	0.102561
322	0.105002
323	0.118902
324	0.116568
325	0.114281
326	0.112039
327	0.109843
328	0.10769
329	0.10558
330	0.103513
331	0.117886
332	0.115572
333	0.113305
334	0.111083
335	0.108905
336	0.106771
337	0.10468
338	0.10263
339	0.100622
340	0.098654
341	0.096725
342	0.094834
343	0.092982
344	0.091166
345	0.089387
346	0.087643
347	0.085935
348	0.08426
349	0.082619
350	0.081011
351	0.096711
352	0.094821
353	0.092969
354	0.088647
355	0.086169
356	0.08374
357	0.079433
358	0.075961
359	0.071809
360	0.086389
361	0.083956
362	0.081572
363	0.079235
364	0.076945
365	0.074701
366	0.072502
367	0.070347
368	0.068235
369	0.066165
370	0.064136
371	0.062148
372	0.0602
373	0.058291
374	0.05642
375	0.054586
376	0.052789
377	0.067734
378	0.065674
379	0.063655
380	0.061677
381	0.059738
382	0.057838
383	0.055976
384	0.070857
385	0.083451
386	0.097782
387	0.095496
388	0.093257
389	0.091062
390	0.088911
391	0.086803
392	0.084737
393	0.082713
394	0.080729
395	0.078784
396	0.076879
397	0.075012
398	0.073182
399	0.071388
400	0.069255
401	0.084876
402	0.082849
403	0.080862
404	0.078915
405	0.077007
406	0.075137
407	0.073305
408	0.071509
409	0.069749
410	0.067649
411	0.06559
412	0.063573
413	0.061597
414	0.05966
415	0.057761
416	0.073372
417	0.071575
418	0.069814
419	0.068087
420	0.066396
421	0.064738
422	0.063114
423	0.061522
424	0.059962
425	0.058433
426	0.073264
427	0.087799
428	0.085337
429	0.082926
430	0.080562
431	0.078245
432	0.075975
433	0.074126
434	0.071938
435	0.069794
436	0.067693
437	0.065634
438	0.063616
439	0.078344
440	0.076447
441	0.074589
442	0.072767
443	0.070982
444	0.069233
445	0.067518
446	0.065463
447	0.063448
448	0.061474
449	0.059539
450	0.074803
451	0.072601
452	0.070444
453	0.083846
454	0.081464
455	0.095834
456	0.093213
457	0.090643
458	0.088125
459	0.085657
460	0.083239
461	0.080869
462	0.078546
463	0.07627
464	0.07404
465	0.071854
466	0.069712
467	0.067612
468	0.065555
469	0.063538
470	0.061562
471	0.059626
472	0.057728
473	0.055868
474	0.071718
475	0.069578
476	0.067481
477	0.065427
478	0.063413
479	0.061439
480	0.059505
