episode	mean-area
163	0.059461
164	0.059443
165	0.059556
166	0.059666
167	0.059644
168	0.059623
169	0.059511
170	0.059401
171	0.059249
172	0.0591
173	0.058954
174	0.058811
175	0.058671
176	0.058533
177	0.058529
178	0.058525
179	0.058611
180	0.058696
181	0.058823
182	0.058949
183	0.059071
184	0.059191
185	0.059309
186	0.059424
187	0.059537
188	0.059648
189	0.059757
190	0.059863
191	0.059968
192	0.06007
193	0.06017
194	0.060216
195	0.060261
196	0.060305
197	0.060348
198	0.060391
199	0.060432
200	0.060473
201	0.060513
202	0.060531
203	0.060467
204	0.060456
205	0.060446
206	0.060435
207	0.060425
208	0.060416
209	0.060406
210	0.060397
211	0.060387
212	0.0604
213	0.060493
214	0.060585
215	0.060675
216	0.060763
217	0.060849
218	0.060934
219	0.061017
220	0.061098
221	0.061177
222	0.061255
223	0.061277
224	0.061297
225	0.061318
226	0.061337
227	0.061357
228	0.061376
229	0.061395
230	0.061413
231	0.061431
232	0.061449
233	0.061521
234	0.061592
235	0.061662
236	0.06173
237	0.061797
238	0.061863
239	0.061927
240	0.061957
241	0.061986
242	0.061885
243	0.061785
244	0.061688
245	0.061593
246	0.061499
247	0.061407
248	0.061317
249	0.061229
250	0.061176
251	0.061124
252	0.061203
253	0.061281
254	0.061356
255	0.061431
256	0.061504
257	0.061575
258	0.061645
259	0.061658
260	0.06167
261	0.061682
262	0.061694
263	0.061706
264	0.061717
265	0.061728
266	0.061739
267	0.06175
268	0.06176
269	0.061827
270	0.061892
271	0.061955
272	0.062018
273	0.062079
274	0.062139
275	0.062198
276	0.062255
277	0.062312
278	0.062367
279	0.062421
280	0.062475
281	0.062527
282	0.062512
283	0.062499
284	0.062485
285	0.062472
286	0.062459
287	0.062446
288	0.062433
289	0.062421
290	0.062409
291	0.062397
292	0.062451
293	0.062503
294	0.062499
295	0.062494
296	0.062489
297	0.062485
298	0.06248
299	0.062476
300	0.062471
301	0.062467
302	0.062463
303	0.062459
304	0.062511
305	0.062563
306	0.062613
307	0.062662
308	0.062711
309	0.062758
310	0.062694
311	0.062631
312	0.06257
313	0.062509
314	0.06245
315	0.062392
316	0.062336
317	0.06228
318	0.062226
319	0.062172
320	0.06223
321	0.062287
322	0.062343
323	0.062268
324	0.062194
325	0.062121
326	0.06205
327	0.06198
328	0.061912
329	0.061845
330	0.06178
331	0.06166
332	0.061543
333	0.061558
334	0.061573
335	0.061587
336	0.061601
337	0.061615
338	0.061629
339	0.061642
340	0.061656
341	0.061724
342	0.061791
343	0.061857
344	0.061921
345	0.061984
346	0.062046
347	0.062107
348	0.062166
349	0.062224
350	0.062282
351	0.062225
352	0.06217
353	0.062115
354	0.062118
355	0.062068
356	0.061965
357	0.061873
358	0.061847
359	0.061831
360	0.061746
361	0.061721
362	0.061644
363	0.061514
364	0.061278
365	0.061046
366	0.060819
367	0.060533
368	0.060137
369	0.059685
370	0.059258
371	0.05884
372	0.05843
373	0.058028
374	0.057634
375	0.057248
376	0.05687
377	0.056391
378	0.055922
379	0.055462
380	0.055012
381	0.05457
382	0.054137
383	0.053713
384	0.053125
385	0.052434
386	0.051605
387	0.050902
388	0.050213
389	0.049537
390	0.048875
391	0.048226
392	0.047591
393	0.046967
394	0.046529
395	0.046214
396	0.046057
397	0.045903
398	0.045751
399	0.045603
400	0.045458
401	0.045215
402	0.044977
403	0.044744
404	0.044516
405	0.044292
406	0.044072
407	0.043857
408	0.043647
409	0.04344
410	0.043238
411	0.04314
412	0.043044
413	0.04295
414	0.042858
415	0.042767
416	0.042559
417	0.042355
418	0.042154
419	0.041958
420	0.041766
421	0.041578
422	0.041393
423	0.041212
424	0.041035
425	0.040861
426	0.040734
427	0.040501
428	0.040273
429	0.040049
430	0.03983
431	0.039615
432	0.039405
433	0.039199
434	0.038997
435	0.038799
436	0.038681
437	0.038675
438	0.038668
439	0.038552
440	0.038438
441	0.038327
442	0.038217
443	0.03811
444	0.038005
445	0.037902
446	0.037802
447	0.037703
448	0.037606
449	0.037621
450	0.037531
451	0.037443
452	0.037357
453	0.037176
454	0.036998
455	0.036705
456	0.036417
457	0.036135
458	0.035859
459	0.035588
460	0.035427
461	0.035269
462	0.035114
463	0.035059
464	0.035005
465	0.035072
466	0.035137
467	0.035201
468	0.035264
469	0.035326
470	0.035386
471	0.035445
472	0.035503
473	0.03556
474	0.035654
475	0.035746
476	0.035836
477	0.035925
478	0.036011
479	0.036096
480	0.03618
