episode,perf,power,area,mean-perf,mean-power,mean-area,max-perf,max-power,max-area,min-perf,min-power,min-area
46,0.08909,-0.894163,0.096685,0.045965,-0.77875,0.039362,0.183187,-0.00782,0.096685,-0.073878,-1.101337,-0.019622
47,0.023571,0.027083,0.027136,0.043516,-0.677363,0.033737,0.183187,0.027083,0.096685,-0.073878,-1.101337,-0.019622
48,-0.033145,-0.881662,0.038379,0.036458,-0.673614,0.033777,0.183187,0.027083,0.096685,-0.073878,-1.101337,-0.019622
49,-0.007778,-0.860206,0.096685,0.030465,-0.670218,0.03446,0.183187,0.027083,0.096685,-0.073878,-1.101337,-0.019622
50,0.076363,-0.395655,-0.073035,0.037041,-0.709002,0.027909,0.183187,0.027083,0.096685,-0.073878,-1.101337,-0.073035
51,-0.010387,0.011372,-0.018651,0.04339,-0.616576,0.020531,0.183187,0.027083,0.096685,-0.039594,-1.101337,-0.073035
52,0.147012,-0.83526,0.038342,0.062051,-0.697797,0.026328,0.183187,0.027083,0.096685,-0.033145,-1.101337,-0.073035
53,0.159756,-0.867357,0.017532,0.070397,-0.682125,0.025515,0.183187,0.027083,0.096685,-0.033145,-1.101337,-0.073035
54,0.147012,-0.83526,0.038342,0.066779,-0.655518,0.028707,0.159756,0.027083,0.096685,-0.033145,-1.024069,-0.073035
55,0.040162,-0.974615,0.079102,0.063166,-0.650572,0.034052,0.159756,0.027083,0.096685,-0.033145,-0.974615,-0.073035
56,0.027227,-0.931629,0.06995,0.056979,-0.654319,0.031378,0.159756,0.027083,0.096685,-0.033145,-0.974615,-0.073035
57,-0.037088,-0.753306,0.01278,0.050913,-0.732358,0.029943,0.159756,0.011372,0.096685,-0.037088,-0.974615,-0.073035
58,-0.019876,-0.810872,0.131595,0.05224,-0.725279,0.039264,0.159756,0.011372,0.131595,-0.037088,-0.974615,-0.073035
59,0,0,0,0.053018,-0.639258,0.029596,0.159756,0.011372,0.131595,-0.037088,-0.974615,-0.073035
60,0.072961,-0.88169,0.0732,0.052678,-0.687862,0.044219,0.159756,0.011372,0.131595,-0.037088,-0.974615,-0.018651
61,0.175169,-0.895726,0.013852,0.071234,-0.778571,0.04747,0.175169,0,0.131595,-0.037088,-0.974615,0
62,0.162188,-0.83526,0.038342,0.072751,-0.778571,0.04747,0.175169,0,0.131595,-0.037088,-0.974615,0
63,0.081105,-0.941799,0.068595,0.064886,-0.786016,0.052576,0.175169,0,0.131595,-0.037088,-0.974615,0
64,0.174984,-0.797794,0.065078,0.067683,-0.782269,0.055249,0.175169,0,0.131595,-0.037088,-0.974615,0
65,0.174984,-0.797794,0.065078,0.081165,-0.764587,0.053847,0.175169,0,0.131595,-0.037088,-0.941799,0
66,-0.072868,-0.110853,0.011947,0.071156,-0.682509,0.048047,0.175169,0,0.131595,-0.072868,-0.941799,0
67,0.155918,-0.797794,0.065078,0.090456,-0.686958,0.053276,0.175169,0,0.131595,-0.072868,-0.941799,0
68,0.040162,-0.974615,0.079102,0.09646,-0.703332,0.048027,0.175169,0,0.079102,-0.072868,-0.974615,0
69,0.152329,-0.764978,0.061398,0.111693,-0.77983,0.054167,0.175169,-0.110853,0.079102,-0.072868,-0.974615,0.011947
70,0,0,0,0.104397,-0.691661,0.046847,0.175169,0,0.079102,-0.072868,-0.974615,0
71,0.155918,-0.797794,0.065078,0.102472,-0.681868,0.051969,0.174984,0,0.079102,-0.072868,-0.974615,0
72,0.152329,-0.764978,0.061398,0.101486,-0.67484,0.054275,0.174984,0,0.079102,-0.072868,-0.974615,0
73,0.155918,-0.797794,0.065078,0.108967,-0.660439,0.053923,0.174984,0,0.079102,-0.072868,-0.974615,0
74,0.152329,-0.764978,0.061398,0.106702,-0.657158,0.053555,0.174984,0,0.079102,-0.072868,-0.974615,0
75,0.155918,-0.797794,0.065078,0.104795,-0.657158,0.053555,0.155918,0,0.079102,-0.072868,-0.974615,0
76,0.152329,-0.764978,0.061398,0.127315,-0.72257,0.0585,0.155918,0,0.079102,0,-0.974615,0
77,0.076294,-0.42701,0.046284,0.119353,-0.685492,0.056621,0.155918,0,0.079102,0,-0.974615,0
78,0.155918,-0.797794,0.065078,0.130928,-0.66781,0.055219,0.155918,0,0.065078,0,-0.797794,0
79,0.131831,-0.838356,0.096101,0.128879,-0.675148,0.058689,0.155918,0,0.096101,0,-0.838356,0
80,0.175516,-0.797794,0.066628,0.14643,-0.754927,0.065352,0.175516,-0.42701,0.096101,0.076294,-0.838356,0.046284
81,0.175516,-0.797794,0.066628,0.14839,-0.754927,0.065507,0.175516,-0.42701,0.096101,0.076294,-0.838356,0.046284
82,0.155918,-0.797794,0.065078,0.148749,-0.758209,0.065875,0.175516,-0.42701,0.096101,0.076294,-0.838356,0.046284
83,0.155918,-0.797794,0.065078,0.148749,-0.758209,0.065875,0.175516,-0.42701,0.096101,0.076294,-0.838356,0.046284
84,0.155918,-0.797794,0.065078,0.149108,-0.76149,0.066243,0.175516,-0.42701,0.096101,0.076294,-0.838356,0.046284
85,0.155918,-0.797794,0.065078,0.149108,-0.76149,0.066243,0.175516,-0.42701,0.096101,0.076294,-0.838356,0.046284
86,0.103517,-0.797794,0.066628,0.144227,-0.764772,0.066766,0.175516,-0.42701,0.096101,0.076294,-0.838356,0.046284
87,-0.014719,-1.038646,0.051602,0.135125,-0.825936,0.067298,0.175516,-0.797794,0.096101,-0.014719,-1.038646,0.051602
88,0.009481,-0.001768,0.01942,0.120482,-0.746333,0.062732,0.175516,-0.001768,0.096101,-0.014719,-1.038646,0.01942
89,0.174984,-0.797794,0.065078,0.124797,-0.742277,0.05963,0.175516,-0.001768,0.066628,-0.014719,-1.038646,0.01942
90,0.176262,-0.807071,0.098444,0.124871,-0.743204,0.062811,0.176262,-0.001768,0.098444,-0.014719,-1.038646,0.01942
91,0.153244,-0.838356,0.096101,0.122644,-0.747261,0.065758,0.176262,-0.001768,0.098444,-0.014719,-1.038646,0.01942
92,0.174984,-0.797794,0.065078,0.124551,-0.747261,0.065758,0.176262,-0.001768,0.098444,-0.014719,-1.038646,0.01942
93,0.102051,-0.936471,0.047935,0.119164,-0.761128,0.064044,0.176262,-0.001768,0.098444,-0.014719,-1.038646,0.01942
94,0.156167,-0.82291,0.013852,0.119189,-0.76364,0.058922,0.176262,-0.001768,0.098444,-0.014719,-1.038646,0.013852
95,0.128243,-0.789676,0.090577,0.116421,-0.762828,0.061472,0.176262,-0.001768,0.098444,-0.014719,-1.038646,0.013852
96,0.155918,-0.797794,0.065078,0.121661,-0.762828,0.061317,0.176262,-0.001768,0.098444,-0.014719,-1.038646,0.013852
