episode,perf,power,area,mean-perf,mean-power,mean-area,max-perf,max-power,max-area,min-perf,min-power,min-area
47,0.044869,-0.000797,0.054105,0.045251,-0.014981,0.056066,0.103032,0.353532,0.083686,-0.01033,-0.158101,0.02007
48,0.043309,-0.002414,0.053791,0.045075,-0.012154,0.05562,0.104636,0.363003,0.083946,-0.011601,-0.160965,0.019276
49,0.042287,-0.00357,0.054649,0.044783,-0.009315,0.055197,0.106207,0.372284,0.084201,-0.012847,-0.163773,0.018498
50,0.042968,0.004588,0.052095,0.044628,-0.007309,0.054651,0.107746,0.38138,0.084451,-0.014067,-0.166524,0.016668
51,0.041901,0.020724,0.05068,0.044604,-0.003494,0.053969,0.109255,0.390294,0.084695,-0.014578,-0.16922,0.014874
52,0.044003,0.019604,0.050433,0.044953,-0.00138,0.053416,0.110734,0.39903,0.084935,-0.014949,-0.171863,0.013116
53,0.046318,0.017865,0.049775,0.045461,0.001005,0.052858,0.112183,0.407591,0.08517,-0.015313,-0.174452,0.011393
54,0.048332,0.016803,0.049547,0.045888,0.003875,0.052375,0.113134,0.415981,0.0854,-0.01567,-0.175445,0.009704
55,0.048169,0.012974,0.050138,0.046233,0.006786,0.052008,0.114067,0.424203,0.085626,-0.016019,-0.175428,0.008049
56,0.04775,0.010082,0.050534,0.046448,0.009564,0.051596,0.11498,0.432261,0.085847,-0.016362,-0.175412,0.006428
57,0.046053,0.010814,0.049779,0.046538,0.010725,0.051163,0.115876,0.439843,0.086064,-0.016776,-0.175396,0.004838
58,0.044735,0.010381,0.051415,0.046652,0.012005,0.050925,0.116753,0.447273,0.086975,-0.017183,-0.17538,0.003281
59,0.04384,0.026173,0.050387,0.046779,0.01498,0.050498,0.117614,0.454555,0.087867,-0.017581,-0.175365,0.001755
60,0.044422,0.024016,0.050843,0.046897,0.016923,0.050373,0.118456,0.461692,0.088742,-0.017971,-0.17535,0.001346
61,0.047037,0.021621,0.050103,0.047384,0.017013,0.050315,0.119591,0.468458,0.089599,-0.018353,-0.175335,0.001319
62,0.04934,0.020483,0.049868,0.047891,0.017101,0.050258,0.120702,0.475089,0.090439,-0.018728,-0.175321,0.001293
63,0.049976,0.017238,0.050243,0.048231,0.017039,0.050304,0.121792,0.481587,0.091262,-0.019095,-0.175307,0.001267
64,0.052476,0.016937,0.050539,0.04862,0.017053,0.050403,0.122859,0.487955,0.092068,-0.019455,-0.175293,0.001242
65,0.054926,0.016642,0.05083,0.049271,0.01742,0.050472,0.123905,0.494196,0.092859,-0.019808,-0.174623,0.001217
66,0.05237,0.030093,0.050052,0.049709,0.019421,0.050423,0.124931,0.500312,0.093634,-0.020869,-0.173966,0.001193
67,0.054441,0.029535,0.050353,0.050524,0.021294,0.05048,0.125935,0.506306,0.094393,-0.021909,-0.173323,0.001169
68,0.054156,0.025452,0.050928,0.051442,0.022801,0.050431,0.12692,0.51218,0.094087,-0.022928,-0.173349,0.001145
69,0.056119,0.025643,0.051137,0.052647,0.022749,0.050506,0.127885,0.515719,0.093787,-0.023927,-0.173374,0.001362
70,0.054997,0.04113,0.050115,0.053682,0.024461,0.050433,0.128831,0.521405,0.093494,-0.024906,-0.173399,0.001334
71,0.057015,0.040352,0.050414,0.054658,0.026334,0.050464,0.129754,0.526977,0.093206,-0.025865,-0.173423,0.001308
72,0.058921,0.040245,0.050634,0.055595,0.02831,0.05054,0.130658,0.532437,0.092924,-0.026805,-0.173447,0.001281
73,0.060861,0.039484,0.050922,0.056662,0.030535,0.050608,0.131545,0.537788,0.092647,-0.027726,-0.17347,0.001256
74,0.062691,0.039395,0.051132,0.057663,0.032782,0.050666,0.132414,0.543033,0.092376,-0.028629,-0.173493,0.001231
75,0.064555,0.038651,0.051411,0.058606,0.034983,0.050724,0.132884,0.548172,0.092111,-0.029514,-0.173516,0.001206
76,0.066311,0.038579,0.051611,0.05998,0.035832,0.05088,0.133344,0.553209,0.091851,-0.028924,-0.173538,0.001182
77,0.06651,0.045267,0.051504,0.061167,0.037405,0.050995,0.133796,0.558144,0.091596,-0.028345,-0.173559,0.001158
78,0.068299,0.044406,0.051776,0.062562,0.039301,0.051079,0.134238,0.562982,0.091065,-0.027778,-0.170044,0.001135
79,0.069569,0.042751,0.052662,0.063889,0.041012,0.051231,0.134672,0.567722,0.091166,-0.027223,-0.16741,0.001112
80,0.071688,0.04194,0.052941,0.06554,0.041093,0.051514,0.135489,0.563827,0.091265,-0.025152,-0.164829,0.002016
81,0.073765,0.041145,0.053215,0.067197,0.041173,0.051794,0.136289,0.56001,0.091362,-0.023123,-0.1623,0.002901
82,0.075408,0.040366,0.053452,0.068828,0.041185,0.052075,0.137074,0.55627,0.091456,-0.021135,-0.159821,0.003769
83,0.077018,0.039603,0.053685,0.070426,0.041197,0.052351,0.137843,0.552604,0.091549,-0.019186,-0.157392,0.004619
84,0.078596,0.038855,0.053913,0.072,0.041144,0.052629,0.138596,0.549012,0.09164,-0.017277,-0.155011,0.005453
85,0.080142,0.038122,0.054136,0.073542,0.041091,0.052901,0.139335,0.545492,0.091729,-0.015405,-0.152678,0.006269
86,0.08061,0.037404,0.054386,0.074956,0.040974,0.053179,0.140058,0.542042,0.091817,-0.013571,-0.150391,0.007069
87,0.078703,0.031883,0.05433,0.076159,0.039635,0.053461,0.140767,0.531245,0.091903,-0.013594,-0.152156,0.00796
88,0.077319,0.04721,0.053632,0.077045,0.039916,0.053646,0.141462,0.536585,0.091987,-0.013617,-0.153886,0.008189
89,0.079272,0.04631,0.053861,0.078,0.040272,0.053766,0.142143,0.541818,0.091479,-0.013639,-0.155581,0.008414
90,0.081212,0.045242,0.054753,0.078938,0.040603,0.053947,0.142826,0.546946,0.091619,-0.01366,-0.157243,0.008634
91,0.082653,0.04357,0.05558,0.079812,0.040845,0.054183,0.143495,0.551972,0.091755,-0.013682,-0.158871,0.00885
92,0.084499,0.042743,0.055769,0.080707,0.041083,0.054415,0.14415,0.556897,0.091889,-0.013702,-0.160466,0.009061
93,0.08485,0.039159,0.055613,0.081476,0.041039,0.054607,0.144792,0.561724,0.09202,-0.013723,-0.16203,0.009268
94,0.086277,0.037917,0.054778,0.08223,0.040945,0.054694,0.145422,0.566454,0.092149,-0.013743,-0.163562,0.00936
95,0.087116,0.037365,0.055494,0.082914,0.04087,0.054829,0.146038,0.571089,0.092275,-0.013762,-0.165064,0.00945
96,0.088492,0.036662,0.055685,0.083689,0.040796,0.054959,0.146643,0.575632,0.092398,-0.013781,-0.166535,0.009538
97,0.08984,0.035973,0.055873,0.08479,0.041205,0.055113,0.147235,0.580084,0.092519,-0.013316,-0.165934,0.009624
98,0.090503,0.033328,0.055727,0.086095,0.039817,0.055322,0.147816,0.568689,0.092637,-0.011009,-0.165345,0.009709
99,0.09174,0.033362,0.05584,0.08733,0.038523,0.05552,0.148385,0.558016,0.092753,-0.008747,-0.164767,0.009792
100,0.093023,0.032739,0.056025,0.088499,0.037272,0.055647,0.148917,0.547556,0.09282,-0.006532,-0.164201,0.009873
101,0.094281,0.032128,0.056206,0.089649,0.036128,0.05571,0.149438,0.537305,0.092776,-0.00436,-0.163647,0.009952
102,0.095514,0.031529,0.056383,0.090739,0.035007,0.055771,0.149573,0.527259,0.092732,-0.002232,-0.163103,0.01003
103,0.096722,0.030943,0.056557,0.091915,0.034186,0.055865,0.149704,0.517415,0.092689,0.000272,-0.161767,0.010107
104,0.094728,0.046274,0.056034,0.092749,0.035022,0.05599,0.149829,0.523016,0.092646,0.000208,-0.160457,0.010512
105,0.096333,0.045392,0.056215,0.093659,0.035825,0.056062,0.150332,0.528505,0.092095,0.000145,-0.159174,0.01091
