episode	min-perf
442	0.024563
443	0.024072
444	0.02359
445	0.023118
446	0.022656
447	0.022203
448	0.021759
449	0.022054
450	0.022344
451	0.022628
452	0.022906
453	0.023178
454	0.023445
455	0.022435
456	0.021446
457	0.020476
458	0.019526
459	0.018594
460	0.017681
461	0.016787
462	0.01591
463	0.015051
464	0.014209
465	0.016865
466	0.019468
467	0.022019
468	0.024519
469	0.026969
470	0.02937
471	0.031723
472	0.034028
473	0.036288
474	0.035205
475	0.034143
476	0.033103
477	0.032084
478	0.031085
479	0.030106
480	0.029146
