episode	min-power
179	-0.033274
180	-0.032565
181	-0.031869
182	-0.031188
183	-0.03052
184	-0.029865
185	-0.029224
186	-0.028595
187	-0.027979
188	-0.027376
189	-0.026784
190	-0.026204
191	-0.025636
192	-0.025079
193	-0.024533
194	-0.023999
195	-0.023475
196	-0.022961
197	-0.022458
198	-0.021964
199	-0.021481
200	-0.021007
201	-0.020543
202	-0.020088
203	-0.019642
204	-0.019205
205	-0.018777
206	-0.018357
207	-0.017946
208	-0.017543
209	-0.017148
210	-0.016761
211	-0.016382
212	-0.01601
213	-0.015646
214	-0.015289
215	-0.014939
216	-0.014596
217	-0.01426
218	-0.01393
219	-0.013608
220	-0.013291
221	-0.012981
222	-0.012678
223	-0.01238
224	-0.012088
225	-0.011802
226	-0.011522
227	-0.011248
228	-0.010979
229	-0.010715
230	-0.010457
231	-0.010203
232	-0.005507
233	-0.000905
234	0.003605
235	0.008025
236	0.012357
237	0.012154
238	0.011955
239	0.01176
240	0.011569
241	0.011382
242	0.011198
243	0.011018
244	0.010842
245	0.010669
246	0.0105
247	0.010334
248	0.010172
249	0.010012
250	0.009856
251	0.009703
252	0.009553
253	0.009406
254	0.009262
255	0.009121
256	0.008983
257	0.008847
258	0.008715
259	0.008584
260	0.008457
261	0.008332
262	0.008209
263	0.008089
264	0.007971
265	0.007856
266	0.007743
267	0.007632
268	0.011972
269	0.016225
270	0.020392
271	0.024477
272	0.028479
273	0.032402
274	0.036246
275	0.040013
276	0.043705
277	0.042875
278	0.042062
279	0.041264
280	0.040483
281	0.039718
282	0.038968
283	0.038232
284	0.037512
285	0.036806
286	0.036114
287	0.035435
288	0.034771
289	0.03412
290	0.033481
291	0.032856
292	0.032243
293	0.031642
294	0.031053
295	0.030476
296	0.029911
297	0.029357
298	0.028814
299	0.028282
300	0.02776
301	0.027249
302	0.026748
303	0.026257
304	0.025776
305	0.025305
306	0.024843
307	0.02439
308	0.023947
309	0.023512
310	0.023086
311	0.022668
312	0.022259
313	0.021858
314	0.021465
315	0.021079
316	0.020702
317	0.020332
318	0.01997
319	0.019614
320	0.019266
321	0.018925
322	0.018591
323	0.018263
324	0.017942
325	0.017627
326	0.017319
327	0.017016
328	0.01672
329	0.01643
330	0.016145
331	0.015867
332	0.015593
333	0.015326
334	0.015063
335	0.014806
336	0.014554
337	0.014307
338	0.014065
339	0.013828
340	0.013595
341	0.013368
342	0.013144
343	0.012926
344	0.012711
345	0.012501
346	0.012295
347	0.012093
348	0.011896
349	0.011702
350	0.011512
351	0.011326
352	0.011143
353	0.010965
354	0.008283
355	0.005655
356	0.00308
357	0.000386
358	-0.002254
359	-0.004842
360	-0.007378
361	-0.009863
362	-0.012298
363	-0.014685
364	-0.017023
365	-0.019316
366	-0.021562
367	-0.023763
368	-0.02592
369	-0.026107
370	-0.02629
371	-0.02647
372	-0.026646
373	-0.026818
374	-0.026987
375	-0.027152
376	-0.027314
377	-0.027473
378	-0.027629
379	-0.027782
380	-0.027931
381	-0.028078
382	-0.028221
383	-0.028362
384	-0.0285
385	-0.028635
386	-0.028768
387	-0.028898
388	-0.029025
389	-0.02915
390	-0.029272
391	-0.029391
392	-0.029509
393	-0.029248
394	-0.028993
395	-0.028743
396	-0.028498
397	-0.028258
398	-0.028022
399	-0.027792
400	-0.027941
401	-0.028087
402	-0.028231
403	-0.028371
404	-0.028509
405	-0.028644
406	-0.028777
407	-0.028906
408	-0.029033
409	-0.029158
410	-0.02928
411	-0.029399
412	-0.029517
413	-0.029632
414	-0.029744
415	-0.029854
416	-0.029963
417	-0.030068
418	-0.030172
419	-0.030274
420	-0.030374
421	-0.030471
422	-0.030567
423	-0.030661
424	-0.030753
425	-0.030468
426	-0.030188
427	-0.029914
428	-0.030021
429	-0.030126
430	-0.030229
431	-0.030329
432	-0.030428
433	-0.030524
434	-0.030619
435	-0.030712
436	-0.030803
437	-0.030892
438	-0.030979
439	-0.031065
440	-0.031149
441	-0.031231
442	-0.031312
443	-0.031391
444	-0.031468
445	-0.031544
446	-0.031618
447	-0.031691
448	-0.031762
449	-0.031832
450	-0.031901
451	-0.031968
452	-0.032034
453	-0.032098
454	-0.032162
455	-0.032224
456	-0.032284
457	-0.032344
458	-0.032402
459	-0.032459
460	-0.032515
461	-0.03257
462	-0.032624
463	-0.032677
464	-0.032728
465	-0.032779
466	-0.032829
467	-0.032877
468	-0.032925
469	-0.032972
470	-0.033017
471	-0.033062
472	-0.033106
473	-0.033149
474	-0.033191
475	-0.033233
476	-0.033273
477	-0.033313
478	-0.033352
479	-0.03339
480	-0.033428
