episode	area
164	0.059939
165	0.060042
166	0.060142
167	0.05894
168	0.059062
169	0.058275
170	0.058411
171	0.058098
172	0.058238
173	0.058375
174	0.058509
175	0.05864
176	0.058769
177	0.058895
178	0.059019
179	0.05914
180	0.059259
181	0.059375
182	0.059489
183	0.059601
184	0.05971
185	0.059818
186	0.059923
187	0.060026
188	0.060127
189	0.060226
190	0.060323
191	0.060418
192	0.060511
193	0.060603
194	0.06017
195	0.060269
196	0.060365
197	0.060459
198	0.060551
199	0.060642
200	0.060731
201	0.060818
202	0.060689
203	0.059962
204	0.060064
205	0.060165
206	0.060263
207	0.060359
208	0.060454
209	0.060546
210	0.060637
211	0.060726
212	0.060813
213	0.060898
214	0.060981
215	0.061063
216	0.061144
217	0.061222
218	0.061299
219	0.061375
220	0.061449
221	0.061522
222	0.061593
223	0.061109
224	0.061189
225	0.061266
226	0.061343
227	0.061417
228	0.061491
229	0.061562
230	0.061633
231	0.061702
232	0.061769
233	0.061835
234	0.0619
235	0.061964
236	0.062026
237	0.062087
238	0.062147
239	0.062205
240	0.061931
241	0.061994
242	0.060755
243	0.060841
244	0.060926
245	0.061009
246	0.06109
247	0.06117
248	0.061248
249	0.061325
250	0.0614
251	0.061473
252	0.061545
253	0.061616
254	0.061685
255	0.061753
256	0.06182
257	0.061885
258	0.061949
259	0.06145
260	0.061523
261	0.061594
262	0.061664
263	0.061732
264	0.061799
265	0.061864
266	0.061929
267	0.061992
268	0.062053
269	0.062114
270	0.062173
271	0.062231
272	0.062288
273	0.062344
274	0.062399
275	0.062452
276	0.062505
277	0.062556
278	0.062607
279	0.062656
280	0.062705
281	0.062752
282	0.062147
283	0.062206
284	0.062263
285	0.062319
286	0.062374
287	0.062429
288	0.062482
289	0.062533
290	0.062584
291	0.062634
292	0.062683
293	0.062731
294	0.062214
295	0.062272
296	0.062328
297	0.062383
298	0.062437
299	0.06249
300	0.062541
301	0.062592
302	0.062642
303	0.06269
304	0.062738
305	0.062785
306	0.062831
307	0.062876
308	0.06292
309	0.062963
310	0.061901
311	0.061964
312	0.062027
313	0.062088
314	0.062147
315	0.062206
316	0.062263
317	0.06232
318	0.062375
319	0.062429
320	0.062482
321	0.062534
322	0.062585
323	0.061333
324	0.061408
325	0.061481
326	0.061553
327	0.061624
328	0.061693
329	0.061761
330	0.061827
331	0.061336
332	0.061411
333	0.061484
334	0.061556
335	0.061627
336	0.061696
337	0.061763
338	0.06183
339	0.061894
340	0.061958
341	0.062021
342	0.062082
343	0.062142
344	0.0622
345	0.062258
346	0.062314
347	0.06237
348	0.062424
349	0.062477
350	0.062529
351	0.061455
352	0.061528
353	0.061599
354	0.062229
355	0.061752
356	0.061284
357	0.061457
358	0.062161
359	0.062317
360	0.061677
361	0.06121
362	0.060753
363	0.060304
364	0.059865
365	0.059435
366	0.059013
367	0.058599
368	0.058194
369	0.057797
370	0.057408
371	0.057027
372	0.056653
373	0.056287
374	0.055928
375	0.055576
376	0.055232
377	0.053811
378	0.053502
379	0.053198
380	0.052901
381	0.05261
382	0.052325
383	0.052045
384	0.050051
385	0.048661
386	0.046949
387	0.046777
388	0.046608
389	0.046443
390	0.046281
391	0.046122
392	0.045967
393	0.045814
394	0.045665
395	0.045518
396	0.045375
397	0.045234
398	0.045096
399	0.044961
400	0.044829
401	0.043695
402	0.043588
403	0.043483
404	0.04338
405	0.043279
406	0.04318
407	0.043084
408	0.042989
409	0.042896
410	0.042805
411	0.042715
412	0.042628
413	0.042542
414	0.042458
415	0.042376
416	0.041096
417	0.041041
418	0.040987
419	0.040934
420	0.040882
421	0.040831
422	0.040781
423	0.040733
424	0.040685
425	0.040638
426	0.039825
427	0.038713
428	0.038706
429	0.038698
430	0.038691
431	0.038684
432	0.038677
433	0.038671
434	0.038664
435	0.038658
436	0.038651
437	0.038645
438	0.038639
439	0.037537
440	0.037553
441	0.037569
442	0.037585
443	0.0376
444	0.037615
445	0.037629
446	0.037643
447	0.037657
448	0.037671
449	0.037684
450	0.036656
451	0.036689
452	0.036722
453	0.035789
454	0.03584
455	0.034694
456	0.034767
457	0.034838
458	0.034908
459	0.034977
460	0.035044
461	0.03511
462	0.035175
463	0.035238
464	0.0353
465	0.035361
466	0.035421
467	0.035479
468	0.035536
469	0.035593
470	0.035648
471	0.035701
472	0.035754
473	0.035806
474	0.03624
475	0.036282
476	0.036323
477	0.036364
478	0.036403
479	0.036442
480	0.03648
