Configure,Int Power,Switch Power,Leak Power,Total Power
MediumBoomConfig-benchmarks-vvadd.riscv,1.22e-02,1.65e-03,2.50e-03,1.64e-02
MediumBoomConfig-benchmarks-whetstone.riscv,1.17e-02,1.46e-03,2.52e-03,1.57e-02
MediumBoomConfig-benchmarks-mm.riscv,1.16e-02,1.27e-03,2.50e-03,1.53e-02
MediumBoomConfig-benchmarks-mt-matmul.riscv,1.37e-02,2.41e-03,2.51e-03,1.86e-02
MediumBoomConfig-benchmarks-mt-vvadd.riscv,1.21e-02,1.77e-03,2.51e-03,1.64e-02
MediumBoomConfig-benchmarks-whetstone.riscv-2G,5.00e-02,5.78e-03,2.52e-03,5.83e-02
LargeBoomConfig-benchmarks-add_fp.riscv,1.88e-02,2.22e-03,3.85e-03,2.49e-02
LargeBoomConfig-benchmarks-add_fp_large.riscv,1.88e-02,2.21e-03,3.85e-03,2.49e-02
LargeBoomConfig-benchmarks-add_int.riscv,2.24e-02,4.03e-03,3.91e-03,3.03e-02
LargeBoomConfig-benchmarks-add_int_large.riscv,2.24e-02,4.05e-03,3.91e-03,3.04e-02
LargeBoomConfig-benchmarks-adpcm_dec.riscv,2.01e-02,2.98e-03,3.92e-03,2.70e-02
LargeBoomConfig-benchmarks-adpcm_enc.riscv,1.97e-02,2.70e-03,3.92e-03,2.63e-02
LargeBoomConfig-benchmarks-basicmath_small.riscv,2.28e-02,4.87e-03,3.93e-03,3.16e-02
LargeBoomConfig-benchmarks-binarysearch.riscv,1.95e-02,2.79e-03,3.87e-03,2.61e-02
LargeBoomConfig-benchmarks-bitcount.riscv,2.04e-02,3.32e-03,3.86e-03,2.76e-02
LargeBoomConfig-benchmarks-bitonic.riscv,2.01e-02,3.17e-03,3.85e-03,2.72e-02
LargeBoomConfig-benchmarks-branchy.riscv,1.79e-02,1.76e-03,3.82e-03,2.35e-02
LargeBoomConfig-benchmarks-branchy_large.riscv,1.79e-02,1.76e-03,3.82e-03,2.35e-02
LargeBoomConfig-benchmarks-bsort.riscv,2.49e-02,6.47e-03,3.89e-03,3.53e-02
LargeBoomConfig-benchmarks-bubblesort.riscv,2.66e-02,7.40e-03,3.91e-03,3.79e-02
LargeBoomConfig-benchmarks-cjpeg_wrbmp.riscv,2.05e-02,3.71e-03,3.88e-03,2.81e-02
LargeBoomConfig-benchmarks-cnt.riscv,1.92e-02,2.91e-03,3.85e-03,2.59e-02
LargeBoomConfig-benchmarks-complex_updates.riscv,1.80e-02,1.84e-03,3.82e-03,2.37e-02
LargeBoomConfig-benchmarks-compress.riscv,1.85e-02,2.31e-03,3.83e-03,2.46e-02
LargeBoomConfig-benchmarks-countnegative.riscv,1.90e-02,2.52e-03,3.86e-03,2.54e-02
LargeBoomConfig-benchmarks-cover.riscv,1.79e-02,1.72e-03,3.82e-03,2.34e-02
LargeBoomConfig-benchmarks-crc.riscv,2.20e-02,4.51e-03,3.87e-03,3.04e-02
LargeBoomConfig-benchmarks-dhrystone.riscv,2.64e-02,6.88e-03,3.90e-03,3.72e-02
LargeBoomConfig-benchmarks-duff.riscv,1.82e-02,1.93e-03,3.82e-03,2.39e-02
LargeBoomConfig-benchmarks-edn.riscv,2.54e-02,6.38e-03,3.89e-03,3.57e-02
LargeBoomConfig-benchmarks-expint.riscv,1.83e-02,2.11e-03,3.87e-03,2.43e-02
LargeBoomConfig-benchmarks-fac.riscv,1.79e-02,1.78e-03,3.82e-03,2.35e-02
LargeBoomConfig-benchmarks-fft.riscv,2.18e-02,4.04e-03,3.93e-03,2.98e-02
LargeBoomConfig-benchmarks-fibonacci.riscv,2.20e-02,3.90e-03,3.86e-03,2.97e-02
LargeBoomConfig-benchmarks-fir2dim.riscv,1.88e-02,2.37e-03,3.84e-03,2.50e-02
LargeBoomConfig-benchmarks-fmref.riscv,2.36e-02,4.96e-03,3.94e-03,3.25e-02
LargeBoomConfig-benchmarks-frac.riscv,2.02e-02,3.12e-03,3.87e-03,2.72e-02
LargeBoomConfig-benchmarks-h264_dec.riscv,2.26e-02,4.84e-03,3.87e-03,3.13e-02
LargeBoomConfig-benchmarks-hello_world.riscv,2.29e-02,4.27e-03,3.91e-03,3.10e-02
LargeBoomConfig-benchmarks-hello_world_large.riscv,2.32e-02,4.43e-03,3.91e-03,3.15e-02
LargeBoomConfig-benchmarks-huff_dec.riscv,2.54e-02,6.27e-03,3.90e-03,3.55e-02
LargeBoomConfig-benchmarks-iir.riscv,1.81e-02,1.90e-03,3.82e-03,2.38e-02
LargeBoomConfig-benchmarks-insertsort.riscv,1.81e-02,1.88e-03,3.82e-03,2.38e-02
LargeBoomConfig-benchmarks-jfdcint.riscv,1.83e-02,2.01e-03,3.83e-03,2.41e-02
LargeBoomConfig-benchmarks-levenshtein.riscv,2.55e-02,6.09e-03,3.89e-03,3.54e-02
LargeBoomConfig-benchmarks-lift.riscv,2.99e-02,8.77e-03,3.89e-03,4.26e-02
LargeBoomConfig-benchmarks-lms.riscv,2.46e-02,5.59e-03,3.94e-03,3.42e-02
LargeBoomConfig-benchmarks-ludcmp.riscv,1.72e-02,1.79e-03,3.82e-03,2.29e-02
LargeBoomConfig-benchmarks-martrix_mult.riscv,2.33e-02,4.84e-03,3.91e-03,3.21e-02
LargeBoomConfig-benchmarks-matrix1.riscv,4.202,0.689,3.79e-03,4.895
LargeBoomConfig-benchmarks-median.riscv,2.16e-02,4.27e-03,3.87e-03,2.98e-02
LargeBoomConfig-benchmarks-mergesort.riscv,2.83e-02,8.21e-03,3.93e-03,4.05e-02
LargeBoomConfig-benchmarks-minver.riscv,1.82e-02,2.02e-03,3.83e-03,2.40e-02
LargeBoomConfig-benchmarks-multiply.riscv,2.37e-02,5.12e-03,3.89e-03,3.27e-02
LargeBoomConfig-benchmarks-ndes.riscv,2.21e-02,4.35e-03,3.88e-03,3.04e-02
LargeBoomConfig-benchmarks-ns.riscv,1.74e-02,1.68e-03,3.82e-03,2.29e-02
LargeBoomConfig-benchmarks-nsichneu.riscv,1.83e-02,2.41e-03,3.84e-03,2.45e-02
LargeBoomConfig-benchmarks-petrinet.riscv,1.89e-02,2.51e-03,3.83e-03,2.52e-02
LargeBoomConfig-benchmarks-prime.riscv,1.91e-02,2.51e-03,3.86e-03,2.54e-02
LargeBoomConfig-benchmarks-qsort.riscv,2.44e-02,5.93e-03,3.92e-03,3.43e-02
LargeBoomConfig-benchmarks-qurt.riscv,2.08e-02,3.53e-03,3.93e-03,2.83e-02
LargeBoomConfig-benchmarks-recursion.riscv,1.85e-02,2.07e-03,3.83e-03,2.44e-02
LargeBoomConfig-benchmarks-reduce_array.riscv,1.68e-02,1.66e-03,3.82e-03,2.23e-02
LargeBoomConfig-benchmarks-rsort.riscv,2.64e-02,6.55e-03,3.90e-03,3.69e-02
LargeBoomConfig-benchmarks-rv64ua-p-amoadd_d_200,1.93e-02,2.55e-03,3.86e-03,2.57e-02
LargeBoomConfig-benchmarks-rv64ud-p-fadd_200,1.91e-02,2.63e-03,3.86e-03,2.56e-02
LargeBoomConfig-benchmarks-rv64ud-p-fclass_200,2.61e-02,5.65e-03,3.85e-03,3.56e-02
LargeBoomConfig-benchmarks-rv64ud-p-move_200,2.92e-02,7.56e-03,3.91e-03,4.07e-02
LargeBoomConfig-benchmarks-rv64ud-p-structural_200,2.77e-02,6.13e-03,3.85e-03,3.77e-02
LargeBoomConfig-benchmarks-rv64ui-p-add_200,2.49e-02,5.95e-03,3.85e-03,3.47e-02
LargeBoomConfig-benchmarks-rv64ui-p-auipc_200,2.54e-02,4.27e-03,3.84e-03,3.35e-02
LargeBoomConfig-benchmarks-rv64ui-p-bne_200,2.44e-02,5.61e-03,3.85e-03,3.38e-02
LargeBoomConfig-benchmarks-rv64ui-p-fence_i_200,2.00e-02,2.11e-03,3.86e-03,2.59e-02
LargeBoomConfig-benchmarks-rv64ui-p-jal_200,2.38e-02,3.46e-03,3.82e-03,3.11e-02
LargeBoomConfig-benchmarks-rv64ui-p-jalr_200,2.52e-02,5.24e-03,3.84e-03,3.42e-02
LargeBoomConfig-benchmarks-rv64ui-p-lui_200,2.43e-02,4.20e-03,3.83e-03,3.23e-02
LargeBoomConfig-benchmarks-rv64ui-p-lw_200,2.54e-02,6.09e-03,3.86e-03,3.54e-02
LargeBoomConfig-benchmarks-rv64ui-p-ori_200,2.55e-02,6.12e-03,3.86e-03,3.55e-02
LargeBoomConfig-benchmarks-rv64ui-p-slli_200,2.50e-02,5.84e-03,3.85e-03,3.47e-02
LargeBoomConfig-benchmarks-rv64ui-p-slt_200,2.47e-02,5.92e-03,3.85e-03,3.45e-02
LargeBoomConfig-benchmarks-rv64ui-p-sra_200,2.55e-02,6.52e-03,3.87e-03,3.59e-02
LargeBoomConfig-benchmarks-rv64ui-p-sw_200,2.58e-02,6.48e-03,3.87e-03,3.61e-02
