idx median-instructions median-cycles   median-ipc  towers-instructions towers-cycles   towers-ipc  vvadd-instructions  vvadd-cycles    vvadd-ipc   multiply-instructions   multiply-cycles multiply-ipc    median-power    towers-power    vvadd-power multiply-power  area
430 4579    7113    /   8791    10189   /   6514    6858    /   48788   60867   /   0.0669  0.0668  0.0655 0.0706  2220399.828
431 4579    7627    /   8791    6535    /   6514    3667    /   48788   43238   /   0.0775  0.0767  0.0752 0.0818  3934328.473
432 4579    11495   /   8791    6712    /   6514    3658    /   48788   52034   /   0.0697  0.0688  0.0676 0.0744  308878.162
433 4579    5492    /   8791    8429    /   6514    3858    /   48788   31395   /   0.0845  0.0833  0.082  0.0886  3096773.739
434 4579    12015   /   8791    11641   /   6514    8181    /   48788   67133   /   0.0446  0.0439  0.0431 0.0485  1801578.442
435 4579    7124    /   8791    10230   /   6514    6897    /   48788   60957   /   0.051   0.0508  0.0496 0.0556  1804780.226
436 4579    7447    /   8791    8995    /   6514    3979    /   48788   43275   /   0.0738  0.0725  0.0714 0.0785  3788351.069
437 4579    7592    /   8791    6491    /   6514    3350    /   48788   43104   /   0.0716  0.0707  0.0695 0.0753  3442889.024
438 4579    7807    /   8791    8446    /   6514    4521    /   48788   43330   /   0.0627  0.062   0.0604 0.0664  2637692.622
439 4579    8517    /   8791    10689   /   6514    5495    /   48788   55739   /   0.0449  0.0444  0.0435 0.0489  1963677.493
440 4579    13151   /   8791    11047   /   6514    8313    /   48788   68449   /   0.0387  0.0381  0.037  0.0425  1641392.316
441 4579    0   /   8791    0   /   6514    0   /   48788   0   /   0   0   0  0   4098779.577
442 4579    7012    /   8791    11443   /   6514    8750    /   48788   60692   /   0.0884  0.087   0.0861 0.0918  3660228.515
443 4579    4989    /   8791    8274    /   6514    3748    /   48788   31049   /   0.0912  0.09    0.0885 0.0957  3390232.825
444 4579    12186   /   8791    8746    /   6514    5483    /   48788   65806   /   0.0438  0.0436  0.0424 0.0474  1877559.265
445 4579    7299    /   8791    11299   /   6514    7346    /   48788   60937   /   0.0574  0.0571  0.0562 0.0612  1840161.239
446 4579    0   /   8791    0   /   6514    0   /   48788   0   /   0   0   0  0   2874156.607
447 4579    7592    /   8791    6535    /   6514    3246    /   48788   43102   /   0.0811  0.0801  0.0789 0.0851  3998033.026
448 4579    7978    /   8791    8842    /   6514    3906    /   48788   43327   /   0.0485  0.0477  0.0465 0.0519  2280976.598
449 4579    12535   /   8791    8695    /   6514    5581    /   48788   65855   /   0.0548  0.0548  0.0535 0.0577  2149628.722
450 4579    9712    /   8791    10499   /   6514    6832    /   48788   64063   /   0.0427  0.0425  0.0415 0.0457  1699244.009
451 4579    0   /   8791    0   /   6514    0   /   48788   0   /   0   0   0  0   3657787.224
452 4579    4882    /   8791    6160    /   6514    3048    /   48788   29716   /   0.0987  0.0974  0.0961 0.104   4147563.188
453 4579    12121   /   8791    10844   /   6514    8468    /   48788   60911   /   0.0569  0.0558  0.0547 0.0604  2434537.196
454 4579    8518    /   8791    10748   /   6514    5540    /   48788   55781   /   0.0498  0.0493  0.0484 0.0533  1985354.386
455 4579    9789    /   8791    10404   /   6514    6845    /   48788   64102   /   0.0539  0.0539  0.0529 0.0567  2006819.191
456 4579    11638   /   8791    6028    /   6514    3682    /   48788   52506   /   0.0943  0.0932  0.092  0.099   3762138.117
457 4579    7592    /   8791    6123    /   6514    4332    /   48788   43154   /   0.0688  0.0682  0.0667 0.0728  3391300.748
458 4579    7807    /   8791    8302    /   6514    4010    /   48788   43264   /   0.0613  0.0608  0.059  0.0651  2707891.153
459 4579    8756    /   8791    11650   /   6514    8063    /   48788   61079   /   0.0359  0.0355  0.0347 0.0391  1540913.036
460 4579    9720    /   8791    10619   /   6514    6833    /   48788   64070   /   0.0374  0.0372  0.0363 0.0404  1551222.24
461 4579    7447    /   8791    6444    /   6514    3271    /   48788   43166   /   0.0719  0.0708  0.0695 0.0763  3591094.261
462 4579    7592    /   8791    5919    /   6514    3311    /   48788   43116   /   0.064   0.0633  0.0618 0.0679  3420741.802
463 4579    5041    /   8791    8442    /   6514    3715    /   48788   31158   /   0.0871  0.0859  0.0847 0.0915  3200290.439
464 4579    12186   /   8791    8827    /   6514    5403    /   48788   65833   /   0.0503  0.0501  0.0489 0.0538  2042913.676
465 4579    13041   /   8791    10634   /   6514    6929    /   48788   67884   /   0.0484  0.0479  0.0467 0.052   1885501.444
466 4579    7672    /   8791    6781    /   6514    3607    /   48788   43236   /   0.0609  0.0599  0.0588 0.0653  3286237.961
467 4579    4907    /   8791    8893    /   6514    3917    /   48788   29884   /   0.0824  0.0809  0.0798 0.0869  3389322/312
468 4579    5086    /   8791    8279    /   6514    3649    /   48788   31352   /   0.0925  0.0914  0.0897 0.0971  3481661.731
469 4579    8517    /   8791    8829    /   6514    4650    /   48788   55603   /   0.0504  0.0503  0.0492 0.0536  2016753.292
470 4579    7033    /   8791    10153   /   6514    6839    /   48788   60855   /   0.0552  0.0551  0.0538 0.059   1845400.397
471 4579    7447    /   8791    5980    /   6514    3345    /   48788   43171   /   0.0944  0.0934  0.0922 0.0983  3579633.956
472 4579    11768   /   8791    11591   /   6514    8852    /   48788   64296   /   0.0857  0.0845  0.0835 0.0886  3214335.379
473 4579    5297    /   8791    9625    /   6514    4485    /   48788   31138   /   0.0847  0.0833  0.0822 0.0892  3106828.135
474 4579    12194   /   8791    8697    /   6514    5346    /   48788   65824   /   0.058   0.0579  0.0567 0.0615  2270444.224
475 4579    7220    /   8791    10075   /   6514    6844    /   48788   60872   /   0.0589  0.0588  0.0574 0.0632  2085504.636
476 4579    7447    /   8791    8966    /   6514    3929    /   48788   43252   /   0.0771  0.0761  0.0748 0.0818  3774790.003
477 4579    11289   /   8791    6261    /   6514    4044    /   48788   52469   /   0.0695  0.0689  0.0675 0.074   3402682.369
478 4579    5348    /   8791    8472    /   6514    3911    /   48788   30975   /   0.0749  0.0737  0.0724 0.0792  2808171.573
479 4579    5869    /   8791    8392    /   6514    4963    /   48788   41800   /   0.0553  0.0549  0.0532 0.0605  2081608.271
480 4579    7188    /   8791    11305   /   6514    8222    /   48788   61310   /   0.0477  0.0474  0.0462 0.0523  1674693.778
481 4579    11332   /   8791    6175    /   6514    3869    /   48788   52145   /   0.0794  0.0786  0.077  0.0839  3884431.104
482 4579    4776    /   8791    8748    /   6514    4000    /   48788   29784   /   0.0936  0.0922  0.0911 0.0984  3927914.336
483 4579    5089    /   8791    8371    /   6514    3805    /   48788   31101   /   0.0836  0.0828  0.081  0.0884  3183561.658
484 4579    8517    /   8791    9129    /   6514    4731    /   48788   55603   /   0.0426  0.0425  0.0412 0.0468  1872232.093
485 4579    13387   /   8791    10716   /   6514    7018    /   48788   68781   /   0.0368  0.0364  0.0355 0.0397  1548622.884
486 4579    11332   /   8791    6381    /   6514    3686    /   48788   52139   /   0.0815  0.0806  0.0792 0.0865  4130646.953
487 4579    7592    /   8791    5679    /   6514    3269    /   48788   43118   /   0.0951  0.0944  0.0928 0.099   3887374.055
488 4579    12234   /   8791    10827   /   6514    8504    /   48788   61242   /   0.0549  0.0539  0.0528 0.0583  2460692.008
489 4579    12194   /   8791    9110    /   6514    5362    /   48788   65828   /   0.0408  0.0403  0.0392 0.0445  1830519.155
490 4579    13152   /   8791    10531   /   6514    6941    /   48788   67919   /   0.0398  0.0395  0.0388 0.0423  1614690.167
491 4579    7447    /   8791    6461    /   6514    3244    /   48788   43154   /   0.0775  0.0765  0.0753 0.0818  3866539.709
492 4579    7592    /   8791    5847    /   6514    3162    /   48788   43094   /   0.106   0.106   0.104  0.11    4155733.218
493 4579    5302    /   8791    8446    /   6514    4080    /   48788   31486   /   0.0784  0.0773  0.0759 0.0827  2888181.191
494 4579    8493    /   8791    9118    /   6514    4997    /   48788   55667   /   0.0401  0.0401  0.039  0.0434  1795638.906
495 4579    9772    /   8791    10493   /   6514    6867    /   48788   64086   /   0.0454  0.0454  0.0445 0.048   1745546.763
496 4579    11332   /   8791    9048    /   6514    4739    /   48788   52432   /   0.068   0.067   0.0657 0.0729  3339827.778
497 4579    11407   /   8791    9277    /   6514    4267    /   48788   52082   /   0.0746  0.0735  0.0724 0.0796  3637556.05
498 4579    11913   /   8791    8632    /   6514    4038    /   48788   52296   /   0.0664  0.0658  0.0644 0.0707  2741210.756
499 4579    5571    /   8791    10209   /   6514    5083    /   48788   41953   /   0.0506  0.0501  0.0487 0.0567  2141696.792
500 4579    13564   /   8791    11073   /   6514    8388    /   48788   68526   /   0.0426  0.0424  0.0415 0.0455  1670656.782
