idx median-instructions median-cycles   median-ipc  towers-instructions towers-cycles   towers-ipc  vvadd-instructions  vvadd-cycles    vvadd-ipc   multiply-instructions   multiply-cycles multiply-ipc    median-power    towers-power    vvadd-power multiply-power  area
254 4579    8493    /   8791    8800    /   6514    4862    /   48788   55627   /   0.0506  0.0506  0.0492 0.0541  2034156.059
255 4579    13152   /   8791    10590   /   6514    6945    /   48788   67920   /   0.042   0.0416  0.0407 0.0454  1657277.819
256 4579    11336   /   8791    6364    /   6514    4658    /   48788   52374   /   0.0727  0.0718  0.0703 0.0778  3588383.822
257 4579    9195    /   8791    11656   /   6514    8694    /   48788   65135   /   0.0558  0.0549  0.0543 0.0583  2396396.649
258 4579    11982   /   8791    8699    /   6514    4561    /   48788   52453   /   0.0517  0.0506  0.0495 0.056   2312017.335
259 4579    12186   /   8791    10693   /   6514    5744    /   48788   65867   /   0.0472  0.0466  0.0458 0.0508  2004081.341
260 4579    13152   /   8791    10519   /   6514    6934    /   48788   67917   /   0.0497  0.0495  0.0485 0.0526  1845773.575
261 4579    4794    /   8791    5743    /   6514    2983    /   48788   29835   /   0.125   0.124   0.122  0.131   4359836.381
262 4579    11831   /   8791    5976    /   6514    3864    /   48788   52035   /   0.0695  0.0689  0.0673 0.0739  3524620.665
263 4579    5101    /   8791    8191    /   6514    3685    /   48788   31344   /   0.0972  0.0962  0.0945  0.102  3477430.631
264 4579    8517    /   8791    8934    /   6514    4830    /   48788   55603   /   0.0415  0.0413  0.04   0.0456  1747345.563
265 4579    9712    /   8791    10551   /   6514    6832    /   48788   64063   /   0.0448  0.0447  0.0437 0.048   1809141.894
266 4579    11500   /   8791    6636    /   6514    3910    /   48788   52161   /   0.0981  0.0972  0.096  0.103   3872550.019
267 4579    7592    /   8791    6540    /   6514    3277    /   48788   43108   /   0.0623  0.0613  0.0601 0.0662  3188801.426
268 4579    11930   /   8791    8691    /   6514    4590    /   48788   52334   /   0.0623  0.0614  0.06   0.0666  2713637.628
269 4579    12448   /   8791    9043    /   6514    5631    /   48788   65720   /   0.0368  0.0362  0.0351 0.0405  1614352.159
270 4579    7127    /   8791    10100   /   6514    6865    /   48788   60890   /   0.0527  0.0526  0.0511 0.0574  1982908.832
271 4579    11332   /   8791    6411    /   6514    3668    /   48788   52139   /   0.0683  0.0673  0.0659 0.0731  3524203.761
272 4579    7529    /   8791    6077    /   6514    3621    /   48788   43151   /   0.0773  0.0766  0.0751 0.0812  3982197.696
273 4579    5101    /   8791    8502    /   6514    3971    /   48788   31129   /   0.0806  0.0794  0.0779 0.085   2929409.613
274 4579    5707    /   8791    8931    /   6514    4434    /   48788   41796   /   0.049   0.0485  0.0472 0.0545  1972405.373
275 4579    13147   /   8791    11105   /   6514    8339    /   48788   68510   /   0.0469  0.0466  0.0454 0.0503  1845720.599
276 4579    0   /   8791    0   /   6514    0   /   48788   0   /   0   0   0  0   3428925.786
277 4579    7592    /   8791    5988    /   6514    3236    /   48788   43092   /   0.102   0.101   0.0997 0.105   3820474.729
278 4579    7807    /   8791    8467    /   6514    4041    /   48788   43268   /   0.0546  0.0538  0.0524 0.0581  2387057.191
279 4579    12811   /   8791    8857    /   6514    5476    /   48788   65748   /   0.0465  0.0462  0.0448 0.05    2010258.362
280 4579    9818    /   8791    10558   /   6514    6871    /   48788   64101   /   0.0481  0.0481  0.0472 0.0507  1812126.429
281 4579    0   /   8791    0   /   6514    0   /   48788   0   /   0   0   0  0   3000536.103
282 4579    4806    /   8791    5711    /   6514    3017    /   48788   29727   /   0.0909  0.0902  0.0883 0.0958  3974441.695
283 4579    5153    /   8791    8242    /   6514    4540    /   48788   32203   /   0.0831  0.0822  0.0807 0.0876  3053206.406
284 4579    5809    /   8791    8373    /   6514    4355    /   48788   41691   /   0.0582  0.0578  0.0564 0.0636  2159902.724
285 4579    7142    /   8791    10710   /   6514    8229    /   48788   61329   /   0.0586  0.0584  0.057  0.0635  2001657.564
286 4579    7447    /   8791    5913    /   6514    3173    /   48788   43147   /   0.113   0.112   0.111  0.117   4243457.443
287 4579    4847    /   8791    5865    /   6514    3326    /   48788   29487   /   0.113   0.112   0.111  0.118   3776935.808
288 4579    11913   /   8791    8726    /   6514    3902    /   48788   52299   /   0.0612  0.0605  0.0592 0.0658  2708151.805
289 4579    12303   /   8791    9087    /   6514    5403    /   48788   65737   /   0.0413  0.0408  0.0396 0.0448  1839696.727
290 4579    7164    /   8791    10068   /   6514    7039    /   48788   61163   /   0.0527  0.0526  0.0511 0.0575  1917437.677
291 4579    7447    /   8791    5979    /   6514    3424    /   48788   43173   /   0.0992  0.0982  0.0969 0.103   3745478.353
292 4579    4842    /   8791    5680    /   6514    2853    /   48788   29582   /   0.126   0.125   0.124  0.131   4197905.117
293 4579    7807    /   8791    8388    /   6514    3819    /   48788   43239   /   0.0566  0.0556  0.0542 0.0601  2583516.13
294 4579    8487    /   8791    8929    /   6514    4650    /   48788   55605   /   0.041   0.0408  0.0396 0.0448  1856705.347
295 4579    13139   /   8791    10531   /   6514    6933    /   48788   67895   /   0.0488  0.0483  0.0473 0.0519  1865102.347
296 4579    0   /   8791    0   /   6514    0   /   48788   0   /   0   0   0  0   3291946.335
297 4579    5003    /   8791    5870    /   6514    3019    /   48788   29463   /   0.131   0.13    0.128  0.135   4602474.869
298 4579    8416    /   8791    10770   /   6514    8485    /   48788   61952   /   0.0535  0.0528  0.052  0.0561  2334675.69
299 4579    5809    /   8791    8452    /   6514    4306    /   48788   41529   /   0.068   0.0676  0.066  0.0738  2496507.263
300 4579    7346    /   8791    11256   /   6514    7270    /   48788   61125   /   0.0468  0.0464  0.0455 0.0502  1610051.651
301 4579    4799    /   8791    6200    /   6514    2946    /   48788   29657   /   0.0979  0.0966  0.0951 0.103   4370276.97
